流水ID	阶段	开始轮次	开始时间	持续轮次	预告(比赛)时间	等待时间（第一场有）	是否特殊小组赛
int	int	int	string	int	int	int	int
ID	Stage	Round	StartTime	LastRound	NoticeTime	WaitTime	isSpecialGroup
1	0	1	2022-03-16-00:00:00	1	0	240900	0
2	1	1	2022-03-18-19:00:00	1	300	600	0
3	1	2	2022-03-19-19:00:00	1	300	600	0
4	1	3	2022-03-24-19:00:00	1	300	600	0
5	1	4	2022-03-25-19:00:00	1	300	600	0
6	2	1	2022-03-26-19:00:00	1	300	600	0
7	2	2	2022-03-31-19:00:00	1	300	600	0
8	2	3	2022-04-01-19:00:00	1	300	600	1
9	3	1	2022-04-02-19:00:00	1	300	600	0
10	3	2	2022-04-07-19:00:00	1	300	600	0
11	3	3	2022-04-08-19:00:00	1	300	600	0
12	3	4	2022-04-09-19:00:00	1	300	600	0
13	3	5	2022-04-16-19:00:00	1	300	600	0
