流水号	星蕴ID	星蕴等级	星蕴名称	星蕴描述	星蕴类型	升级消耗	星蕴属性	觉醒星蕴属性	显示前置条件	前置星蕴	玩家所需等级	坐标	链接坐标	星蕴Icon	评分类型	值/公式
int	int	int	string	string	int	string	string	string	string	string	int	string	string	string	int	int
Id	StarContentId	StarContentLevel	StarContentName	StarContentDes	StarContentType	StarContentCost	StarContentProp	TransformationProp	ShowStarContentId	NeedStarContentId	NeedHeroLevel	Coordinate	LinkCoordinate	StarContentIcon	CPType	CPValue
1	170001001	0	starsoulcontent_name_1	talentdes101101	1	15000		1,0;3,0	1		70	0,0	0,0;0,0	skill_60481	1	6
2	170001001	1	starsoulcontent_name_1	talentdes101104	1			1,300;3,30	1		70	0,0	0,0;0,0	skill_60481	1	6
3	170001002	0	starsoulcontent_name_4	talentdes1011008	1	15000	1,0		170001001,1	170001001,1	70	2,5	0,0;2,5	skill_60561	1	6
4	170001002	1	starsoulcontent_name_4	talentdes1011009	1		1,80		170001001,1	170001001,1	70	2,5	0,0;2,5	skill_60561	1	6
5	170001003	0	starsoulcontent_name_2	talentdes1011801	1	15000	3,0		170001002,1	170001002,1	70	2,3	2,5;2,3	skill_60441	1	6
6	170001003	1	starsoulcontent_name_2	talentdes101106	1		3,8		170001002,1	170001002,1	70	2,3	2,5;2,3	skill_60441	1	6
7	170001004	0	starsoulcontent_name_3	talentdes101102	1	15000	4,0		170001003,1	170001003,1	70	2,1	2,3;2,1	skill_60521	1	6
8	170001004	1	starsoulcontent_name_3	talentdes1011002	1		4,8		170001003,1	170001003,1	70	2,1	2,3;2,1	skill_60521	1	6
9	170001005	0	starsoulcontent_name_1	talentdes1011005	1	40000		1,0;3,0	2		70	0,0	0,0;0,0	skill_60481	1	6
10	170001005	1	starsoulcontent_name_1	talentdes1011010	1			1,400;3,40	2		70	0,0	0,0;0,0	skill_60481	1	6
11	170001006	0	starsoulcontent_name_4	talentdes1011012	1	40000	1,0		170001005,1	170001005,1	70	1,2	0,0;1,2	skill_60561	1	6
12	170001006	1	starsoulcontent_name_4	talentdes1011014	1		1,80		170001005,1	170001005,1	70	1,2	0,0;1,2	skill_60561	1	6
13	170001007	0	starsoulcontent_name_11	talentdes101105	1	40000	22,0		170001005,1	170001005,1	70	1,4	0,0;1,4	skill_400601	1	6
14	170001007	1	starsoulcontent_name_11	talentdes1011004	1		22,27		170001005,1	170001005,1	70	1,4	0,0;1,4	skill_400601	1	6
15	170001008	0	starsoulcontent_name_2	talentdes1011013	1	120000	3,0		170001005,1	170001005,1	70	2,6	0,0;2,6	skill_60441	1	6
16	170001008	1	starsoulcontent_name_2	talentdes1011011	1		3,16		170001005,1	170001005,1	70	2,6	0,0;2,6	skill_60441	1	6
17	170001009	0	starsoulcontent_name_1	talentdes101103	1	60000		1,0;3,0	3		70	0,0	0,0;0,0	skill_60481	1	6
18	170001009	1	starsoulcontent_name_1	talentdes101108	1			1,500;3,50	3		70	0,0	0,0;0,0	skill_60481	1	6
19	170001010	0	starsoulcontent_name_11	talentdes1011003	1	60000	22,0		170001009,1	170001009,1	70	2,1	0,0;2,1	skill_400601	1	6
20	170001010	1	starsoulcontent_name_11	talentdes1011802	1	30000	22,27		170001009,1	170001009,1	70	2,1	0,0;2,1	skill_400601	1	6
21	170001010	2	starsoulcontent_name_11	talentdes1011006	1		22,36		170001009,1	170001009,1	70	2,1	0,0;2,1	skill_400601	1	6
22	170001011	0	starsoulcontent_name_4	talentdes1011015	1	60000	1,0		170001009,1	170001009,1	70	1,3	0,0;1,3	skill_60561	1	6
23	170001011	1	starsoulcontent_name_4	talentdes1011016	1	30000	1,80		170001009,1	170001009,1	70	1,3	0,0;1,3	skill_60561	1	6
24	170001011	2	starsoulcontent_name_4	talentdes101107	1		1,110		170001009,1	170001009,1	70	1,3	0,0;1,3	skill_60561	1	6
25	170001012	0	starsoulcontent_name_2	talentdes1011017	1	60000	3,0		170001011,1	170001011,1	70	1,2	1,3;1,2	skill_60441	1	6
26	170001012	1	starsoulcontent_name_2	talentdes1011018	1	30000	3,8		170001011,1	170001011,1	70	1,2	1,3;1,2	skill_60441	1	6
27	170001012	2	starsoulcontent_name_2	talentdes1011019	1		3,11		170001011,1	170001011,1	70	1,2	1,3;1,2	skill_60441	1	6
28	170001013	0	starsoulcontent_name_10	talentdes101109	1	60000	25,0		170001009,1	170001009,1	70	1,7	0,0;1,7	skill_400506	1	6
29	170001013	1	starsoulcontent_name_10	talentdes101110	1	30000	25,27		170001009,1	170001009,1	70	1,7	0,0;1,7	skill_400506	1	6
30	170001013	2	starsoulcontent_name_10	talentdes1011020	1		25,36		170001009,1	170001009,1	70	1,7	0,0;1,7	skill_400506	1	6
31	170001014	0	starsoulcontent_name_3	talentdes1011803	1	60000	4,0		170001013,1	170001013,1	70	1,6	1,7;1,6	skill_60521	1	6
32	170001014	1	starsoulcontent_name_3	talentdes1011021	1	30000	4,8		170001013,1	170001013,1	70	1,6	1,7;1,6	skill_60521	1	6
33	170001014	2	starsoulcontent_name_3	talentdes1000022	1		4,11		170001013,1	170001013,1	70	1,6	1,7;1,6	skill_60521	1	6
34	170001015	0	ItemName_107000020101	talentdes1000023	2	item107000020101;6;180000		1,0;3,0	170001009,1	170001009,1	70	2,5	0,0;2,5	#N/A	1	6
35	170001015	1	ItemName_107000020101	talentdes101111	2				170001009,1	170001009,1	70	2,5	0,0;2,5	#N/A	1	6
36	170001016	0	starsoulcontent_name_1	talentdes1000024	1	105000		1,0;3,0	4		70	0,0	0,0;0,0	skill_60481	1	6
37	170001016	1	starsoulcontent_name_1	talentdes1000025	1			1,600;3,60	4		70	0,0	0,0;0,0	skill_60481	1	6
38	170001017	0	starsoulcontent_name_3	talentdes10001001	1	105000	4,0		170001016,1	170001016,1	70	1,2	0,0;1,2	skill_60521	1	6
39	170001017	1	starsoulcontent_name_3	talentdes10001002	1	52500	4,8		170001016,1	170001016,1	70	1,2	0,0;1,2	skill_60521	1	6
40	170001017	2	starsoulcontent_name_3	talentdes10001003	1		4,11		170001016,1	170001016,1	70	1,2	0,0;1,2	skill_60521	1	6
41	170001018	0	starsoulcontent_name_4	talentdes1000026	1	105000	1,0		170001017,1	170001017,1	70	2,2	1,2;2,2	skill_60561	1	6
42	170001018	1	starsoulcontent_name_4	talentdes1000804	1	52500	1,80		170001017,1	170001017,1	70	2,2	1,2;2,2	skill_60561	1	6
43	170001018	2	starsoulcontent_name_4	talentdes1000027	1		1,110		170001017,1	170001017,1	70	2,2	1,2;2,2	skill_60561	1	6
44	170001019	0	starsoulcontent_name_2	talentdes1011028	1	105000	3,0		170001016,1	170001016,1	70	1,7	0,0;1,7	skill_60441	1	6
45	170001019	1	starsoulcontent_name_2	talentdes1011029	1	52500	3,8		170001016,1	170001016,1	70	1,7	0,0;1,7	skill_60441	1	6
46	170001019	2	starsoulcontent_name_2	talentdes1011030	1		3,11		170001016,1	170001016,1	70	1,7	0,0;1,7	skill_60441	1	6
47	170001020	0	starsoulcontent_name_8	talentdes1011031	1	105000	21,0		170001016,1	170001016,1	70	1,5	0,0;1,5	skill_400504	1	6
48	170001020	1	starsoulcontent_name_8	talentdes1011032	1	52500	21,27		170001016,1	170001016,1	70	1,5	0,0;1,5	skill_400504	1	6
49	170001020	2	starsoulcontent_name_8	talentdes1011805	1		21,36		170001016,1	170001016,1	70	1,5	0,0;1,5	skill_400504	1	6
50	170001021	0	starsoulcontent_name_2	talentdes1011034	1	105000	3,0		170001016,1	170001016,1	70	2,6	0,0;2,6	skill_60441	1	6
51	170001021	1	starsoulcontent_name_2	talentdes1011035	1	52500	3,8		170001016,1	170001016,1	70	2,6	0,0;2,6	skill_60441	1	6
52	170001021	2	starsoulcontent_name_2	talentdes1011036	1		3,11		170001016,1	170001016,1	70	2,6	0,0;2,6	skill_60441	1	6
53	170001022	0	starsoulcontent_name_11	talentdes1011037	1	105000	22,0		170001021,1	170001021,1	70	2,5	2,6;2,5	skill_400601	1	6
54	170001022	1	starsoulcontent_name_11	talentdes1011038	1	52500	22,27		170001021,1	170001021,1	70	2,5	2,6;2,5	skill_400601	1	6
