流水号	星灵ID	星灵阶级	升阶消耗	蕴养上限	包含星蕴ID
int	int	int	int	int	string
Id	StarId	StarLevel	StarLevelCost	StarSpiritLimit	StarContentId
1	170000001	1	400000	5	170001001,170001002,170001003,170001004
2	170000001	2	700000	5	170001005,170001006,170001007,170001008
3	170000001	3	1500000	10	170001009,170001010,170001011,170001012,170001013,170001014,170001015
4	170000001	4	2100000	10	170001016,170001017,170001018,170001019,170001020,170001021,170001022,170001023,170001024,170001025
5	170000001	5	3600000	15	170001026,170001027,170001028,170001029,170001030,170001031,170001032,170001033,170001034,170001035
6	170000001	6	5400000	15	170001036,170001037,170001038,170001039,170001040,170001041,170001042,170001043,170001044,170001045,170001046,170001047,170001048
7	170000001	7	7200000	20	170001049,170001050,170001051,170001052,170001053,170001054,170001055,170001056,170001057,170001058,170001059,170001060,170001061,170001062,170001063
8	170000001	8	10000000	20	170001064,170001065,170001066,170001067,170001068,170001069,170001070,170001071,170001072,170001073,170001074,170001075,170001076,170001077,170001078
9	170000001	9	15000000	25	170001079,170001080,170001081,170001082,170001083,170001084,170001085,170001086,170001087,170001088,170001089,170001090,170001091,170001092,170001093
10	170000001	10	0	25	170001094,170001095,170001096,170001097,170001098,170001099,170001100,170001101,170001102,170001103,170001104,170001105,170001106,170001107,170001108,170001109,170001110
11	170000002	1	400000	5	170002001,170002002,170002003,170002004
12	170000002	2	700000	5	170002005,170002006,170002007,170002008
13	170000002	3	1500000	10	170002009,170002010,170002011,170002012,170002013,170002014,170002015
14	170000002	4	2100000	10	170002016,170002017,170002018,170002019,170002020,170002021,170002022,170002023,170002024,170002025
15	170000002	5	3600000	15	170002026,170002027,170002028,170002029,170002030,170002031,170002032,170002033,170002034,170002035
16	170000002	6	5400000	15	170002036,170002037,170002038,170002039,170002040,170002041,170002042,170002043,170002044,170002045,170002046,170002047,170002048
17	170000002	7	7200000	20	170002049,170002050,170002051,170002052,170002053,170002054,170002055,170002056,170002057,170002058,170002059,170002060,170002061,170002062,170002063
18	170000002	8	10000000	20	170002064,170002065,170002066,170002067,170002068,170002069,170002070,170002071,170002072,170002073,170002074,170002075,170002076,170002077,170002078
19	170000002	9	15000000	25	170002079,170002080,170002081,170002082,170002083,170002084,170002085,170002086,170002087,170002088,170002089,170002090,170002091,170002092,170002093
20	170000002	10	0	25	170002094,170002095,170002096,170002097,170002098,170002099,170002100,170002101,170002102,170002103,170002104,170002105,170002106,170002107,170002108,170002109,170002110
21	170000003	1	400000	5	170003001,170003002,170003003,170003004
22	170000003	2	700000	5	170003005,170003006,170003007,170003008
23	170000003	3	1500000	10	170003009,170003010,170003011,170003012,170003013,170003014,170003015
24	170000003	4	2100000	10	170003016,170003017,170003018,170003019,170003020,170003021,170003022,170003023,170003024,170003025
25	170000003	5	3600000	15	170003026,170003027,170003028,170003029,170003030,170003031,170003032,170003033,170003034,170003035
26	170000003	6	5400000	15	170003036,170003037,170003038,170003039,170003040,170003041,170003042,170003043,170003044,170003045,170003046,170003047,170003048
27	170000003	7	7200000	20	170003049,170003050,170003051,170003052,170003053,170003054,170003055,170003056,170003057,170003058,170003059,170003060,170003061,170003062,170003063
28	170000003	8	10000000	20	170003064,170003065,170003066,170003067,170003068,170003069,170003070,170003071,170003072,170003073,170003074,170003075,170003076,170003077,170003078
29	170000003	9	15000000	25	170003079,170003080,170003081,170003082,170003083,170003084,170003085,170003086,170003087,170003088,170003089,170003090,170003091,170003092,170003093
30	170000003	10	0	25	170003094,170003095,170003096,170003097,170003098,170003099,170003100,170003101,170003102,170003103,170003104,170003105,170003106,170003107,170003108,170003109,170003110
31	170000004	1	400000	5	170004001,170004002,170004003,170004004
32	170000004	2	700000	5	170004005,170004006,170004007,170004008
33	170000004	3	1500000	10	170004009,170004010,170004011,170004012,170004013,170004014,170004015
34	170000004	4	2100000	10	170004016,170004017,170004018,170004019,170004020,170004021,170004022,170004023,170004024,170004025
35	170000004	5	3600000	15	170004026,170004027,170004028,170004029,170004030,170004031,170004032,170004033,170004034,170004035
36	170000004	6	5400000	15	170004036,170004037,170004038,170004039,170004040,170004041,170004042,170004043,170004044,170004045,170004046,170004047,170004048
37	170000004	7	7200000	20	170004049,170004050,170004051,170004052,170004053,170004054,170004055,170004056,170004057,170004058,170004059,170004060,170004061,170004062,170004063
38	170000004	8	10000000	20	170004064,170004065,170004066,170004067,170004068,170004069,170004070,170004071,170004072,170004073,170004074,170004075,170004076,170004077,170004078
39	170000004	9	15000000	25	170004079,170004080,170004081,170004082,170004083,170004084,170004085,170004086,170004087,170004088,170004089,170004090,170004091,170004092,170004093
40	170000004	10	0	25	170004094,170004095,170004096,170004097,170004098,170004099,170004100,170004101,170004102,170004103,170004104,170004105,170004106,170004107,170004108,170004109,170004110
41	170000005	1	200000	5	170005001,170005002,170005003,170005004
42	170000005	2	400000	5	170005005,170005006,170005007,170005008
43	170000005	3	750000	10	170005009,170005010,170005011,170005012,170005013,170005014,170005015
44	170000005	4	1200000	10	170005016,170005017,170005018,170005019,170005020,170005021,170005022,170005023,170005024,170005025
45	170000005	5	2500000	15	170005026,170005027,170005028,170005029,170005030,170005031,170005032,170005033,170005034,170005035
46	170000005	6	3600000	15	170005036,170005037,170005038,170005039,170005040,170005041,170005042,170005043,170005044,170005045,170005046,170005047,170005048
47	170000005	7	5000000	20	170005049,170005050,170005051,170005052,170005053,170005054,170005055,170005056,170005057,170005058,170005059,170005060,170005061
48	170000005	8	0	25	170005062,170005063,170005064,170005065,170005066,170005067,170005068,170005069,170005070,170005071,170005072,170005073,170005074,170005075,170005076
49	170000006	1	200000	5	170006001,170006002,170006003,170006004
50	170000006	2	400000	5	170006005,170006006,170006007,170006008
51	170000006	3	750000	10	170006009,170006010,170006011,170006012,170006013,170006014,170006015
