流水ID	星域ID	buffId	buff单价	是否商店必出
int	int	string	string	int
ID	StarAreaId	StarTraceBuffId	StarTraceBuffPrice	MustShowBuff
1	1	buff6_startrace00::buff000	26,35	0
2	1	buff6_startrace00::buff001	26,35	0
3	1	buff6_startrace00::buff002	26,35	0
4	1	buff6_startrace00::buff003	26,35	0
5	1	buff6_startrace00::buff004	26,35	0
6	1	buff6_startrace00::buff005	26,35	0
7	1	buff6_startrace00::buff006	26,35	0
8	1	buff6_startrace00::buff007	26,35	0
9	1	buff6_startrace00::buff008	26,35	0
10	1	buff6_startrace00::buff009	26,35	0
11	1	buff6_startrace00::buff010	26,35	0
12	1	buff6_startrace00::buff011	26,35	0
13	1	buff6_startrace00::buff012	26,35	0
14	1	buff6_startrace00::buff013	26,35	0
15	1	buff6_startrace00::buff014	26,35	0
16	1	buff6_startrace00::buff015	26,35	0
17	1	buff6_startrace00::buff016	26,35	0
18	1	buff6_startrace00::buff017	26,35	0
19	1	buff6_startrace00::buff018	26,35	0
20	1	buff6_startrace00::buff019	26,35	0
21	1	buff6_startrace01::buff000	26,65	0
22	1	buff6_startrace01::buff001	26,65	0
23	1	buff6_startrace01::buff002	26,65	0
24	1	buff6_startrace01::buff003	26,65	0
25	1	buff6_startrace01::buff004	26,65	0
26	1	buff6_startrace01::buff005	26,65	0
27	1	buff6_startrace01::buff006	26,65	0
28	1	buff6_startrace01::buff007	26,65	0
29	1	buff6_startrace01::buff008	26,65	0
30	1	buff6_startrace01::buff009	26,65	0
31	1	buff6_startrace01::buff010	26,65	0
32	1	buff6_startrace01::buff011	26,65	0
33	1	buff6_startrace01::buff012	26,65	0
34	1	buff6_startrace01::buff013	26,65	0
35	1	buff6_startrace01::buff014	26,65	0
36	1	buff6_startrace01::buff015	26,65	0
37	1	buff6_startrace01::buff016	26,65	0
38	1	buff6_startrace01::buff017	26,65	0
39	1	buff6_startrace01::buff018	26,65	0
40	1	buff6_startrace01::buff019	26,65	0
41	1	buff6_startrace02::buff000	26,90	0
42	1	buff6_startrace02::buff001	26,90	1
43	1	buff6_startrace02::buff002	26,90	0
44	1	buff6_startrace02::buff003	26,90	0
45	1	buff6_startrace02::buff004	26,90	0
46	1	buff6_startrace02::buff005	26,90	0
47	1	buff6_startrace02::buff006	26,90	0
48	1	buff6_startrace02::buff007	26,90	0
49	1	buff6_startrace02::buff008	26,90	0
50	1	buff6_startrace02::buff009	26,90	0
51	1	buff6_startrace02::buff010	26,90	0
52	1	buff6_startrace02::buff011	26,90	0
53	1	buff6_startrace02::buff012	26,90	0
54	1	buff6_startrace02::buff013	26,90	0
55	1	buff6_startrace02::buff014	26,90	0
56	1	buff6_startrace02::buff015	26,90	0
57	1	buff6_startrace02::buff016	26,90	0
