主任务ID	欧拉角偏移	弹簧百分比	目标偏移	场景描述	景点坐标	偏移角度	是否以景点为参照
int	float	float	vector3	string	vector3	int	int
Id	eulerXPercent	pinchPercent	targetOffset	SceneDes	TargetPos	Rot	UseTarget
710110	0.250000	0.900000	0,3,0	StepStepTask_710110	6.62,5.03,-9.3	10	1
710120	0.250000	0.900000	0,3,0	StepStepTask_710120	63.51,17.3,59.8	0	1
710130	0.250000	0.900000	0,3,0	StepStepTask_710130	-7.4,8.39,61.29	10	1
710140	0.250000	0.900000	0,3,0	StepStepTask_710140	-8.27,0.76,-11.02	0	1
710210	0.250000	0.900000	0,3,0	StepStepTask_710210	-53.5,0.28,-60.73	10	1
710220	0.250000	0.900000	0,3,0	StepStepTask_710220	47.72,9.9,40.57	10	1
710310	0.250000	0.900000	0,3,0	StepStepTask_710310	-12.05,0.43,-35.29	0	1
710320	0.250000	0.900000	0,3,0	StepStepTask_710320	39.45,1.98,41.68	10	1
710330	0.250000	0.900000	0,3,0	StepStepTask_710330	-3.7,3.44,15.96	10	1
710410	0.250000	0.900000	0,3,0	StepStepTask_710410	2.83,5.06,16.54	10	1
710420	0.250000	0.900000	0,3,0	StepStepTask_710420	-66.77,9.1,-47.5	10	1
710430	0.250000	0.900000	0,3,0	StepStepTask_710430	-32.2,15.63,91.6	10	1
710440	0.250000	0.900000	0,3,0	StepStepTask_710440	70.2,9.8,32	10	1
710510	0.250000	0.900000	0,3,0	StepStepTask_710510	62.94,11.51,24.64	10	1
710520	0.250000	0.900000	0,3,0	StepStepTask_710520	-32.24,9.49,52.43	10	1
710530	0.250000	0.900000	0,3,0	StepStepTask_710530	-0.84,7.63,-36.58	0	1
710540	0.250000	0.900000	0,3,0	StepStepTask_710540	32.62,12.43,64.92	10	1
710610	0.250000	0.900000	0,3,0	StepStepTask_710610	21.59,7.44,100.36	10	1
710620	0.250000	0.900000	0,3,0	StepStepTask_710620	-51.42,4.62,62.88	0	1
710630	0.250000	0.900000	0,3,0	StepStepTask_710630	-5.01,2.44,-0.93	10	1
710710	0.250000	0.900000	0,3,0	StepStepTask_710710	18,14.01,95.18	10	1
710720	0.250000	0.900000	0,3,0	StepStepTask_710720	-1.84,7.01,21.05	10	1
710730	0.250000	0.900000	0,3,0	StepStepTask_710730	19.15,5.68,-41.59	10	1
710740	0.250000	0.900000	0,3,0	StepStepTask_710740	30.51,10.72,9.07	10	1
