ID	特效数量	高特效玩家数量	角色资源最大数量	角色资源缓存数量	可视玩家数量	显示宠物	描边	实时阴影	草扰动	最大头顶字伤害数量	最大加持特效数量	最大脚印特效数量	最大背饰数量	最大使者数量	玩家附加物可视范围	设置帧率	星灵漫步最大玩家数	星灵漫步最大足迹特效数	最大光武数量	最大星之子变身特效玩家数量	hdr效果
string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int
Id	ParticleCount	HighParticlePlayerCount	CharResCount	CharResCacheCount	VisiblePlayerCount	ShowPet	Outline	RealTimeShadow	GrassMotion	MaxDamageNum	MaxBlessEffectNum	MaxFootStepEffectNum	MaxFashionWingNum	MaxFashionEnvoyNum	PlayerAttachmentDistance	FrameRate	MaxStarStrollPlayerNum	MaxStarStrollFootprintNum	MaxWeaponShineEffectNum	MaxStarChildEffectPlayerNum	OpenHdrEffect
Default_LM	45	0	30	5	5	1	1	0	0	10	5	5	5	30	8	30,45,1;30,60,0	5	15	5	5	1
Default_L	60	0	50	15	10	1	1	0	0	10	8	8	8	40	10	30,45,1;30,60,0	10	30	8	8	1
Default_M	75	0	60	20	15	1	1	0	1	25	12	12	12	50	15	30,45,1;30,60,0	25	45	12	12	1
Default_H	90	0	80	30	25	1	1	0	1	45	15	15	15	60	20	30,45,1;30,60,0	45	60	15	15	1
S1V1Pvp_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
S1V1Pvp_M	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
S1V1Pvp_H	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
S3V3Pvp_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
S3V3Pvp_M	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
S3V3Pvp_H	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
CloneScene_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
CloneScene_M	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
CloneScene_H	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
FieldScene_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
FieldScene_M	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
FieldScene_H	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
MainCity	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
WorldBoss_L	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
WorldBoss_M	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
WorldBoss_H	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
Crack_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
Crack_M	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
Crack_H	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
NewbieScene_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
NewbieScene_M	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
NewbieScene_H	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
UnlimitTower_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
UnlimitTower_M	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
UnlimitTower_H	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
GuildWar_L	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
GuildWar_M	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
GuildWar_H	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
HomeLand	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	1
