流水号	主任务ID	子任务序号	子任务类型	行为类型	替换bgm	目标对象	目标线索	行为目标	战力限制	目的地提示	是否显示Content	是否显示战斗标志	目标场景	行为场景	目标坐标	是否启用停止范围	寻路停止范围	触发类型	长、宽、旋转	触发范围	需求数量	提交NPC	提交场景	提交npc坐标	自动提交任务	自动继续	完成提示显示	完成特效提示	判断进度条显示	是否显示流光特效	任务栏显示奖励掉落包	奖励显示	任务道具奖励	世界任务灰色数值奖励	世界任务灰色道具奖励	世界任务超出数量奖励	是否可放弃	显示图片	失败条件类型	失败条件参数	进行中标题	进行中内容	进行中故事	提交时标题	提交时内容	提示时故事	触发引导ID	任务邮件	隔天任务邮件	是否为界面内的	是否记录任务进度
int	int	int	int	int	int	string	string	string	int	string	bool	bool	int	int	vector3	int	int	int	vector3	float	int	string	int	vector3	int	int	int	int	int	int	string	string	string	string	string	string	bool	string	string	string	string	string	string	string	string	string	bool	string	string	bool	int
Id	TaskId	SubId	Type	ActionType	ChangeBgm	Target	TargetCue	ActionTarget	LimitScore	TargetTips	ShowContent	ShowFightSign	Scene	ActionScene	Pos	IsUseStopScope	StopScope	ColliderType	AreaInfo	Scope	Num	SubmitNpc	SubmitScene	SubmitNpcPos	AutoSubmit	AutoContinue	DisplayTip	EffectTip	ShowProgressBar	ShowLightEffect	TaskPanelReward	RewardShow	ItemList	WordlTaskSpecialRewardPoint	WordlTaskSpecialItemList	WordlTaskOvertopItemList	IsGiveUp	Picture	FailCondType	FailCondParams	ExecuteTaskName	ExecuteTaskContent	ExecuteTaskStory	SubmitTaskName	SubmitTaskContent	SubmitTaskStory	IsTriggerGuide	MailID	SecondMailID	IsInterface	NeedInherit
1	121010	0	1	1	0	npc_10007		npc_10007	0				1	1	-67.5, -4.4, -66.5	0	0	0		6.000000	1	npc_10007	1	-67.5, -4.4, -66.5	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121010	ExecuteTaskContent121010	ExecuteTaskStory121010	SubmitTaskName121010	SubmitTaskContent121010	SubmitTaskStory121010					0
2	121020	0	1	1	0	npc_10003		npc_10003	0				1	1	-59.5, -4.4, -38.6	0	0	0		6.000000	1	npc_10003	1	-59.5, -4.4, -38.6	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121020	ExecuteTaskContent121020	ExecuteTaskStory121020	SubmitTaskName121020	SubmitTaskContent121020	SubmitTaskStory121020					0
3	121030	0	2	2	0	monster10002006		monster10002006	0		1	1	1	1	40.1,-0.4,14.1	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121030	ExecuteTaskContent121030	ExecuteTaskStory121030								0
4	121040	0	2	2	0	monster10002007		monster10002007	0		1	1	1	1	-45.5,-5.0,-16.5	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName121040	ExecuteTaskContent121040	ExecuteTaskStory121040								0
5	121050	0	2	2	0	monster10002010		monster10002010	0		1	1	1	1	47.6, 3.8, 42.8	1	1	0		13.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName121050	ExecuteTaskContent121050	ExecuteTaskStory121050								0
6	121060	0	3	2	0	item106030110001		monster10002008	0		1	1	1	1	40.7,-5.1,-49.2	1	1	0		13.000000	5		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName121060	ExecuteTaskContent121060	ExecuteTaskStory121060								0
7	121070	0	3	2	0	item106030110002		monster10002002	0		1	1	1	1	-15.9,-0.5,61.4	1	1	0		13.000000	10		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName121070	ExecuteTaskContent121070	ExecuteTaskStory121070								0
8	121080	0	50	1	0	3		door_30031	0				1030	1	61.1, 4.0, 56.4	0	0	0		13.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName121080	ExecuteTaskContent121080	ExecuteTaskStory121080								0
