词缀ID	词缀效果类型	词缀效果参数	显示参数	合并组
int	string	string	string	int
AffixID	EffectType	EffectParam	MergeValue	group
1001	1	dg_bf440_1_contract::buff_0_lv1	20	4
1002	1	dg_bf440_1_contract::buff_0_lv2	100	4
1003	1	dg_bf440_1_contract::buff_0_lv3	500	4
1004	1	dg_bf440_1_contract::buff_1_lv1	25	5
1005	1	dg_bf440_1_contract::buff_1_lv2	120	5
1006	1	dg_bf440_1_contract::buff_1_lv3	600	5
1007	1	dg_bf440_1_contract::buff_2_lv1	15	6
1008	1	dg_bf440_1_contract::buff_2_lv2	105	6
1009	1	dg_bf440_1_contract::buff_2_lv3	450	6
1010	1	dg_bf440_2_contract::buff_7_lv1|dg_bf440_2_contract::buff_16_lv1	15	7
1011	1	dg_bf440_2_contract::buff_7_lv2|dg_bf440_2_contract::buff_16_lv2	30	7
1012	1	dg_bf440_2_contract::buff_7_lv3|dg_bf440_2_contract::buff_16_lv3	60	7
1013	1	dg_bf440_1_contract::buff_6_lv1	50	8
1014	1	dg_bf440_1_contract::buff_7_lv1	50	9
1015	1	dg_bf440_1_contract::buff_8_lv1	50	10
1016	1	dg_bf440_1_contract::buff_9_lv1	0	11
1017	1	dg_bf440_1_contract::buff_10_lv1	0	12
1018	1	dg_bf440_1_contract::buff_11_lv1	0	13
1019	1	dg_bf440_1_contract::buff_13_lv1	0	14
1020	1	dg_bf440_1_contract::buff_14_lv1	0	15
1021	1	dg_bf440_1_contract::buff_15_lv1	0	16
1022	1	dg_bf440_1_contract::buff_16_lv1	0	17
1023	1	dg_bf440_1_contract::buff_17_lv1	0	18
1024	1	dg_bf440_1_contract::buff_18_lv1	0	19
1025	8	2	0	20
1026	6	480	0	21
1027	2		10	22
1028	2		20	22
1029	2		50	22
1	1	dg_bf450_1_contract::buff_1_lv1	0	2000
2	1	dg_bf450_1_contract::buff_1_lv2	0	2000
3	1	dg_bf450_1_contract::buff_1_lv3	0	2000
4	1		0	9999
101	1|1	dg_bf450_1_contract::buff_2_lv1|dg_bf450_1_contract::buff_1_lv1	10	1001
102	1|1	dg_bf450_1_contract::buff_2_lv2|dg_bf450_1_contract::buff_1_lv2	20	1001
103	1|1	dg_bf450_1_contract::buff_2_lv3|dg_bf450_1_contract::buff_1_lv3	30	1001
104	1|1	dg_bf450_1_contract::buff_3_lv1|dg_bf450_1_contract::buff_1_lv1	20	1002
105	1|1	dg_bf450_1_contract::buff_3_lv2|dg_bf450_1_contract::buff_1_lv2	40	1002
106	1|1	dg_bf450_1_contract::buff_3_lv3|dg_bf450_1_contract::buff_1_lv3	60	1002
107	1|1	dg_bf450_1_contract::buff_4_lv1|dg_bf450_1_contract::buff_1_lv1	20	1003
108	1|1	dg_bf450_1_contract::buff_4_lv2|dg_bf450_1_contract::buff_1_lv2	40	1003
109	1|1	dg_bf450_1_contract::buff_4_lv3|dg_bf450_1_contract::buff_1_lv3	60	1003
110	1|1	dg_bf450_1_contract::buff_5_lv1|dg_bf450_1_contract::buff_1_lv1	10	1004
111	1|1	dg_bf450_1_contract::buff_5_lv2|dg_bf450_1_contract::buff_1_lv2	20	1004
112	1|1	dg_bf450_1_contract::buff_5_lv3|dg_bf450_1_contract::buff_1_lv3	40	1004
113	2|1	dg_bf450_1_contract::buff_6_lv1|dg_bf450_1_contract::buff_1_lv1	10	1005
114	2|1	dg_bf450_1_contract::buff_6_lv2|dg_bf450_1_contract::buff_1_lv2	20	1005
115	2|1	dg_bf450_1_contract::buff_6_lv3|dg_bf450_1_contract::buff_1_lv3	30	1005
116	2|1	dg_bf450_1_contract::buff_7_lv1|dg_bf450_1_contract::buff_1_lv1	10	1006
117	2|1	dg_bf450_1_contract::buff_7_lv2|dg_bf450_1_contract::buff_1_lv2	20	1006
118	2|1	dg_bf450_1_contract::buff_7_lv3|dg_bf450_1_contract::buff_1_lv3	30	1006
119	2|1	dg_bf450_1_contract::buff_8_lv1|dg_bf450_1_contract::buff_1_lv1	10	1007
120	2|1	dg_bf450_1_contract::buff_8_lv2|dg_bf450_1_contract::buff_1_lv2	20	1007
121	2|1	dg_bf450_1_contract::buff_8_lv3|dg_bf450_1_contract::buff_1_lv3	30	1007
122	1|1	dg_bf450_1_contract::buff_9_lv1|dg_bf450_1_contract::buff_1_lv1	10	1008
123	1|1	dg_bf450_1_contract::buff_9_lv2|dg_bf450_1_contract::buff_1_lv2	20	1008
124	1|1	dg_bf450_1_contract::buff_9_lv3|dg_bf450_1_contract::buff_1_lv3	30	1008
125	1|1	dg_bf450_1_contract::buff_10_lv1|dg_bf450_1_contract::buff_1_lv1	10	1009
126	1|1	dg_bf450_1_contract::buff_10_lv2|dg_bf450_1_contract::buff_1_lv2	20	1009
127	1|1	dg_bf450_1_contract::buff_10_lv3|dg_bf450_1_contract::buff_1_lv3	30	1009
128	1|1	dg_bf450_1_contract::buff_11_lv1|dg_bf450_1_contract::buff_1_lv1	10	1010
129	1|1	dg_bf450_1_contract::buff_11_lv2|dg_bf450_1_contract::buff_1_lv2	20	1010
130	1|1	dg_bf450_1_contract::buff_11_lv3|dg_bf450_1_contract::buff_1_lv3	30	1010
131	1|1	dg_bf450_1_contract::buff_12_lv1|dg_bf450_1_contract::buff_1_lv1	10	1011
132	1|1	dg_bf450_1_contract::buff_12_lv2|dg_bf450_1_contract::buff_1_lv2	20	1011
133	1|1	dg_bf450_1_contract::buff_12_lv3|dg_bf450_1_contract::buff_1_lv3	30	1011
134	1|1	dg_bf450_1_contract::buff_13_lv1|dg_bf450_1_contract::buff_1_lv2	0	1023
135	1|1	dg_bf450_1_contract::buff_14_lv1|dg_bf450_1_contract::buff_1_lv2	0	1024
136	2|1	dg_bf450_1_contract::buff_15_lv1|dg_bf450_1_contract::buff_1_lv2	0	1025
137	1|1	dg_bf450_1_contract::buff_16_lv1|dg_bf450_1_contract::buff_1_lv2	0	1026
138	1|1	dg_bf450_1_contract::buff_17_lv1|dg_bf450_1_contract::buff_1_lv2	0	1027
139	1|1	dg_bf450_1_contract::buff_18_lv1|dg_bf450_1_contract::buff_1_lv2	0	1028
140	1|1	dg_bf450_1_contract::buff_19_lv1|dg_bf450_1_contract::buff_1_lv2	0	1029
141	1|1	dg_bf450_1_contract::buff_20_lv1|dg_bf450_1_contract::buff_1_lv2	0	1030
142	1|1	dg_bf450_1_contract::buff_20_lv2|dg_bf450_1_contract::buff_1_lv3	0	1031
143	6|1	120|dg_bf450_1_contract::buff_1_lv3	0	1032
144	1|1	dg_bf450_2_contract::buff_1_lv1|dg_bf450_1_contract::buff_1_lv2	0	1033
145	1|1	dg_bf450_2_contract::buff_2_lv1|dg_bf450_1_contract::buff_1_lv2	0	1034
146	2|1	dg_bf450_2_contract::buff_3_lv1|dg_bf450_1_contract::buff_1_lv2	0	1035
147	1|1	dg_bf450_3_contract::buff_3	0	8888
148	1|1	dg_bf450_3_contract::buff_3_ano	0	8889
11	2|1	dg_bf450_2_contract::buff_4_lv1|dg_bf450_1_contract::buff_1_lv4	20	1012
12	2|1	dg_bf450_2_contract::buff_4_lv2|dg_bf450_1_contract::buff_1_lv4	40	1012
13	2|1	dg_bf450_2_contract::buff_5_lv1|dg_bf450_1_contract::buff_1_lv4	20	1013
14	2|1	dg_bf450_2_contract::buff_5_lv2|dg_bf450_1_contract::buff_1_lv4	40	1013
15	2|1	dg_bf450_2_contract::buff_6_lv1|dg_bf450_1_contract::buff_1_lv4	20	1014
16	2|1	dg_bf450_2_contract::buff_6_lv2|dg_bf450_1_contract::buff_1_lv4	40	1014
17	2|1	dg_bf450_2_contract::buff_7_lv1|dg_bf450_1_contract::buff_1_lv4	8	1015
18	2|1	dg_bf450_2_contract::buff_7_lv2|dg_bf450_1_contract::buff_1_lv4	16	1015
19	2|1	dg_bf450_2_contract::buff_8_lv1|dg_bf450_1_contract::buff_1_lv4	20	1016
20	2|1	dg_bf450_2_contract::buff_8_lv2|dg_bf450_1_contract::buff_1_lv4	40	1016
21	2|1	dg_bf450_2_contract::buff_9_lv2|dg_bf450_1_contract::buff_1_lv4	40	1017
22	2|1	dg_bf450_2_contract::buff_10_lv1|dg_bf450_1_contract::buff_1_lv4	20	1018
23	2|1	dg_bf450_2_contract::buff_10_lv2|dg_bf450_1_contract::buff_1_lv4	40	1018
24	2|1	dg_bf450_2_contract::buff_11_lv1|dg_bf450_1_contract::buff_1_lv4	20	1019
25	2|1	dg_bf450_2_contract::buff_11_lv2|dg_bf450_1_contract::buff_1_lv4	40	1019
26	2|1	dg_bf450_2_contract::buff_12_lv1|dg_bf450_1_contract::buff_1_lv4	20	1020
27	2|1	dg_bf450_2_contract::buff_12_lv2|dg_bf450_1_contract::buff_1_lv4	40	1020
28	2|1	dg_bf450_2_contract::buff_13_lv1|dg_bf450_1_contract::buff_1_lv4	20	1021
29	2|1	dg_bf450_2_contract::buff_13_lv2|dg_bf450_1_contract::buff_1_lv4	40	1021
30	2|1	dg_bf450_2_contract::buff_14_lv1|dg_bf450_1_contract::buff_1_lv4	30	1022
31	2|1	dg_bf450_2_contract::buff_14_lv2|dg_bf450_1_contract::buff_1_lv4	60	1022
32	2|1	dg_bf450_2_contract::buff_9_lv1|dg_bf450_1_contract::buff_1_lv4	20	1017
153	1|1	dg_bf450_3_contract::buff_3	0	8888
154	1|1	dg_bf450_3_contract::buff_3_ano	0	8889
