词组ID	所属活动ID	是否是固定词组	词组图标	名称语言表	难度值	描述文字	词缀组
int	int	int	string	string	int	string	string
PhraseID	ActiveID	IsFixed	Icon	PhraseName	Reward	Describe	Affix
92001	1002	1	contract_129	phrase_name92001	15	phrase_des92001	144,108,4
92002	1002	1	contract_130	phrase_name92002	15	phrase_des92002	147,144,4
92003	1002	1	contract_142	phrase_name92003	20	phrase_des92003	148,141,4
92004	1002	1	contract_144	phrase_name92004	15	phrase_des92004	144,153
92005	1002	1	contract_141	phrase_name92005	20	phrase_des92005	141,154
82001	1002	0	contract_112	phrase_name82001	1	phrase_des82001	113,116
82002	1002	0	contract_103	phrase_name82002	1	phrase_des82002	107,110
82003	1002	0	contract_119	phrase_name82003	1	phrase_des82003	101,107
82004	1002	0	contract_118	phrase_name82004	1	phrase_des82004	101,128
82005	1002	0	contract_103	phrase_name82005	2	phrase_des82005	110,125,104
82006	1002	0	contract_119	phrase_name82006	2	phrase_des82006	102,119
82007	1002	0	contract_118	phrase_name82007	2	phrase_des82007	110,122,128
82008	1002	0	contract_107	phrase_name82008	2	phrase_des82008	122,125,128
82009	1002	0	contract_112	phrase_name82009	2	phrase_des82009	113,107,131
82010	1002	0	contract_114	phrase_name82010	2	phrase_des82010	116,101,125
82011	1002	0	contract_114	phrase_name82011	3	phrase_des82011	119,101,108
82012	1002	0	contract_118	phrase_name82012	3	phrase_des82012	101,128,105
82013	1002	0	contract_134	phrase_name82013	3	phrase_des82013	101,131,123
82014	1002	0	contract_103	phrase_name82014	3	phrase_des82014	104,131,108
82015	1002	0	contract_107	phrase_name82015	3	phrase_des82015	104,122,102
82016	1002	0	contract_119	phrase_name82016	3	phrase_des82016	110,125,102
82017	1002	0	contract_113	phrase_name82017	3	phrase_des82017	135,101,107
82018	1002	0	contract_111	phrase_name82018	4	phrase_des82018	138,101,129
82019	1002	0	contract_102	phrase_name82019	4	phrase_des82019	139,104,108
82020	1002	0	contract_114	phrase_name82020	4	phrase_des82020	118,107,110
82021	1002	0	contract_118	phrase_name82021	4	phrase_des82021	121,104,110
82022	1002	0	contract_107	phrase_name82022	4	phrase_des82022	101,122,109
82023	1002	0	contract_134	phrase_name82023	4	phrase_des82023	104,131,112
82024	1002	0	contract_119	phrase_name82024	4	phrase_des82024	104,128,112
82025	1002	0	contract_107	phrase_name82025	4	phrase_des82025	131,111,126
82026	1002	0	contract_103	phrase_name82026	5	phrase_des82026	107,110,103
82027	1002	0	contract_134	phrase_name82027	5	phrase_des82027	107,125,124
82028	1002	0	contract_114	phrase_name82028	5	phrase_des82028	107,128,133
82029	1002	0	contract_114	phrase_name82029	5	phrase_des82029	110,102,132
82030	1002	0	contract_107	phrase_name82030	5	phrase_des82030	122,105,108
82031	1002	0	contract_119	phrase_name82031	5	phrase_des82031	125,111,132
82032	1002	0	contract_110	phrase_name82032	6	phrase_des82032	134,104,103
82033	1002	0	contract_112	phrase_name82033	6	phrase_des82033	136,113,106
82034	1002	0	contract_135	phrase_name82034	6	phrase_des82034	137,105,126
82035	1002	0	contract_141	phrase_name82035	6	phrase_des82035	140,102,123
82036	1002	0	contract_137	phrase_name82036	6	phrase_des82036	145,119,106
82037	1002	0	contract_119	phrase_name82037	7	phrase_des82037	110,102,109
82038	1002	0	contract_107	phrase_name82038	7	phrase_des82038	111,123,129
82039	1002	0	contract_103	phrase_name82039	7	phrase_des82039	114,101,109
82040	1002	0	contract_118	phrase_name82040	7	phrase_des82040	117,104,103
82041	1002	0	contract_115	phrase_name82041	8	phrase_des82041	146,102,112
82042	1002	0	contract_114	phrase_name82042	8	phrase_des82042	120,108,106
82043	1002	0	contract_107	phrase_name82043	9	phrase_des82043	105,123,127
82044	1002	0	contract_119	phrase_name82044	9	phrase_des82044	111,126,130
82045	1002	0	contract_118	phrase_name82045	10	phrase_des82045	115,105,129
82046	1002	0	contract_111	phrase_name82046	10	phrase_des82046	143,105,111
81001	1002	0	subspacebattle_102	phrase_name81001	-2	phrase_des81001	12
81002	1002	0	subspacebattle_101	phrase_name81002	-2	phrase_des81002	14
81003	1002	0	subspacebattle_106	phrase_name81003	-2	phrase_des81003	18
81004	1002	0	subspacebattle_104	phrase_name81004	-2	phrase_des81004	20
81005	1002	0	subspacebattle_110	phrase_name81005	-2	phrase_des81005	21
81006	1002	0	subspacebattle_107	phrase_name81006	-2	phrase_des81006	25
81007	1002	0	subspacebattle_105	phrase_name81007	-2	phrase_des81007	27
81008	1002	0	subspacebattle_108	phrase_name81008	-2	phrase_des81008	31
