流水	活动id	奖励类型	排名最小区间	排名最大区间	奖励	最小上榜积分
int	int	int	int	int	string	int
Id	ActivityID	Type	RankMin	RankMax	Reward	LimitPoints
1	1002	1	1	1	item141000000285,1;item200000800004,3;item200000810004,2;item200000810003,5	0
2	1002	1	2	5	item200000800004,1;item200000810004,2;item200000810003,5	0
3	1002	1	6	10	item200000800003,1;item1019,500;item200000810003,3	0
4	1002	1	11	50	item1019,500	0
5	1002	2	1	1	item141000000288,1;item200000830003,1;item200000830001,20	0
6	1002	2	2	3	item141000000287,1;item200000831003,5;item200000830001,10	0
7	1002	2	4	10	item200000830001,5;item200000831003,2;item1019,2000	0
8	1002	2	11	50	item200000830001,3;item1019,1000	0
9	1002	2	51	100	item8200000800002,5;item1019,500	0
