任务ID	任务类型	任务参数	目标副本	需求次数	任务描述	道具奖励	词组奖励
int	int	string	int	int	string	string	string
ID	Type	TaskParams	Target	Times	Des	Reward	PhraseReward
890101	3		0	1	subspacebattle_task_des_890101		82006
890102	2	82001,82002	2001	1	subspacebattle_task_des_890102		82011
890201	3		0	1	subspacebattle_task_des_890201		82007
890202	2	82003,82004	2001	1	subspacebattle_task_des_890202		82008
890301	3		0	1	subspacebattle_task_des_890301		82012
890302	2	82001,82004	2001	1	subspacebattle_task_des_890302		82013
890401	3		0	1	subspacebattle_task_des_890401		82019
890402	2	82002,82003	2001	1	subspacebattle_task_des_890402		82020
890501	3		0	1	subspacebattle_task_des_890501		82026
890502	2	82003,82009	2001	1	subspacebattle_task_des_890502		82027
890601	3		0	1	subspacebattle_task_des_890601		82032
890602	2	82004,82009	2001	1	subspacebattle_task_des_890602		82033
890701	3		0	1	subspacebattle_task_des_890701		82037
890702	2	82009,82018	2001	1	subspacebattle_task_des_890702		82038
890801	3		0	1	subspacebattle_task_des_890801		82041
890802	2	82014,82018	2002	1	subspacebattle_task_des_890802		82042
890901	3		0	1	subspacebattle_task_des_890901		82043
890902	2	82003,82018	2002	1	subspacebattle_task_des_890902		82044
891001	3		0	1	subspacebattle_task_des_891001		82045
891002	2	82004,82018	2002	1	subspacebattle_task_des_891002		82046
891101	3		0	1	subspacebattle_task_des_891101		82010
891102	2	82021,82022	2002	1	subspacebattle_task_des_891102		82016
891201	3		0	1	subspacebattle_task_des_891201		82017
891202	2	82021,82028	2002	1	subspacebattle_task_des_891202		82024
891301	3		0	1	subspacebattle_task_des_891301		82025
891302	2	82022,82029	2002	1	subspacebattle_task_des_891302		82030
891401	3		0	1	subspacebattle_task_des_891401		82031
891402	2	82034,82035	2002	1	subspacebattle_task_des_891402		82036
880101	1		2001	1	subspacebattle_task_des_880101	item100900002001,200	
880102	2	82001,82002,81001	2001	1	subspacebattle_task_des_880102	item100900002001,100	
880103	1	20	2001	1	subspacebattle_task_des_880103	item100900002001,50	
880201	1		2001	1	subspacebattle_task_des_880201	item100900002001,200	
880202	2	82005,82001,82002	2001	1	subspacebattle_task_des_880202	item100900002001,100	
880203	1	25	2001	1	subspacebattle_task_des_880203	item100900002001,50	
880301	1		2001	1	subspacebattle_task_des_880301	item100900002001,200	
880302	2	81001,81002,81003	2001	1	subspacebattle_task_des_880302	item100900002001,100	
880303	1	30	2001	1	subspacebattle_task_des_880303	item100900002001,50	
880401	1		2001	1	subspacebattle_task_des_880401	item100900002001,200	
880402	2	82001,82002,81001	2001	1	subspacebattle_task_des_880402	item100900002001,100	
880403	1	30	2001	1	subspacebattle_task_des_880403	item100900002001,50	
880501	1		2001	1	subspacebattle_task_des_880501	item100900002001,200	
880502	2	82005,82001,82002	2001	1	subspacebattle_task_des_880502	item100900002001,100	
880503	1	35	2001	1	subspacebattle_task_des_880503	item100900002001,50	
880601	1		2001	1	subspacebattle_task_des_880601	item100900002001,200	
880602	2	81001,81002,81003	2001	1	subspacebattle_task_des_880602	item100900002001,100	
880603	1	40	2001	1	subspacebattle_task_des_880603	item100900002001,50	
880701	1		2001	1	subspacebattle_task_des_880701	item100900002001,200	
880702	2	82003,82015,82018	2001	1	subspacebattle_task_des_880702	item100900002001,100	
880703	1	40	2001	1	subspacebattle_task_des_880703	item100900002001,50	
880801	1		2002	1	subspacebattle_task_des_880801	item100900002001,200	
880802	2	82001,82002,81001	2002	1	subspacebattle_task_des_880802	item100900002001,100	
880803	1	25	2002	1	subspacebattle_task_des_880803	item100900002001,50	
880901	1		2002	1	subspacebattle_task_des_880901	item100900002001,200	
880902	2	82005,82001,82002	2002	1	subspacebattle_task_des_880902	item100900002001,100	
880903	1	30	2002	1	subspacebattle_task_des_880903	item100900002001,50	
881001	1		2002	1	subspacebattle_task_des_881001	item100900002001,200	
881002	2	81001,81002,81003	2002	1	subspacebattle_task_des_881002	item100900002001,100	
881003	1	35	2002	1	subspacebattle_task_des_881003	item100900002001,50	
881101	1		2002	1	subspacebattle_task_des_881101	item100900002001,200	
881102	2	82003,82015,82018	2002	1	subspacebattle_task_des_881102	item100900002001,100	
881103	1	35	2002	1	subspacebattle_task_des_881103	item100900002001,50	
881201	1		2002	1	subspacebattle_task_des_881201	item100900002001,200	
881202	2	82018,82002,82003	2002	1	subspacebattle_task_des_881202	item100900002001,100	
881203	1	40	2002	1	subspacebattle_task_des_881203	item100900002001,50	
881301	1		2002	1	subspacebattle_task_des_881301	item100900002001,200	
881302	2	82001,81005,82023	2002	1	subspacebattle_task_des_881302	item100900002001,100	
881303	1	45	2002	1	subspacebattle_task_des_881303	item100900002001,50	
881401	1		2002	1	subspacebattle_task_des_881401	item100900002001,200	
881402	2	81006,81007,82029	2002	1	subspacebattle_task_des_881402	item100900002001,100	
881403	1	45	2002	1	subspacebattle_task_des_881403	item100900002001,50	
990001	1		2001	3	subspacebattle_task_des_990001		81005
990002	1		2001	10	subspacebattle_task_des_990002		81006
990003	1		2002	3	subspacebattle_task_des_990003		81007
990004	1		2002	10	subspacebattle_task_des_990004		81008
990005	1	44	2001	5	subspacebattle_task_des_990005		82023
990006	1	50	2001	5	subspacebattle_task_des_990006		82029
990007	1	56	2002	5	subspacebattle_task_des_990007		82035
990008	1	68	2002	5	subspacebattle_task_des_990008		82040
980001	1	15	2001	1	subspacebattle_task_des_980001	item100900002001,300	
980002	1	25	2001	1	subspacebattle_task_des_980002	item100900002001,300	
980003	1	35	2002	1	subspacebattle_task_des_980003	item100900002001,300	
980004	1	60	2002	1	subspacebattle_task_des_980004	item100900002001,200	
980009	2	82001,82002,82003	2001	1	subspacebattle_task_des_980009	item100900002001,150	
980010	2	82011,82012,82013	2001	1	subspacebattle_task_des_980010	item100900002001,150	
980011	2	82021,82022,82023	2002	1	subspacebattle_task_des_980011	item100900002001,150	
980012	2	82031,82032,82033	2002	1	subspacebattle_task_des_980012	item100900002001,150	
990103	1	28	2001	1	subspacebattle_task_des_990103		82003
990203	1	30	2001	1	subspacebattle_task_des_990203		82004
990303	1	32	2001	1	subspacebattle_task_des_990303		82009
990403	1	38	2001	1	subspacebattle_task_des_990403		82014
990503	1	42	2001	1	subspacebattle_task_des_990503		82015
990603	1	48	2001	1	subspacebattle_task_des_990603		82021
990703	1	54	2002	1	subspacebattle_task_des_990703		82022
990803	1	66	2002	1	subspacebattle_task_des_990803		82028
990903	1	73	2002	1	subspacebattle_task_des_990903		82034
991003	1	77	2002	1	subspacebattle_task_des_991003		82039
999001	4		0	5	subspacebattle_task_des_999001	item100900002001,100	
999002	4		0	8	subspacebattle_task_des_999002	item100900002001,100	
999003	4		0	12	subspacebattle_task_des_999003	item100900002001,100	
999004	4		0	14	subspacebattle_task_des_999004	item100900002001,100	
999005	4		0	16	subspacebattle_task_des_999005	item100900002001,100	
999006	4		0	18	subspacebattle_task_des_999006	item100900002001,100	
999007	4		0	20	subspacebattle_task_des_999007	item100900002001,100	
999008	4		0	24	subspacebattle_task_des_999008	item100900002001,100	
999009	4		0	26	subspacebattle_task_des_999009	item100900002001,100	
999010	4		0	28	subspacebattle_task_des_999010	item100900002001,100	
999011	4		0	30	subspacebattle_task_des_999011	item100900002001,100	
999012	4		0	32	subspacebattle_task_des_999012	item100900002001,100	
999013	4		0	34	subspacebattle_task_des_999013	item100900002001,100	
999014	4		0	36	subspacebattle_task_des_999014	item100900002001,100	
