总ID	组ID	是否可以点击跳过该句	文本内容ID	配音ID	整体淡入时间	整体淡出时间	文字淡入时间	文字淡出时间	持续时间（单位秒）	点击结束按钮语言包ID	是否关闭背景音乐
int	int	bool	string	int	float	float	float	float	float	string	bool
ID	GroupID	ClickSkip	ContentID	DubID	FadeInAll	FadeOutAll	FadeInContent	FadeOutContent	TimeLength	OverBtnContentID	TurnOffMusic
1	4	0		0	0.000000	2.000000	0.000000	0.000000	2.000000		1
2	4	1	subtitle_story_1_001	5256	0.000000	0.000000	0.800000	0.800000	2.000000		1
3	4	0		0	0.000000	0.000000	0.000000	0.000000	0.500000		1
4	4	0	subtitle_story_1_002	5257	0.000000	0.000000	0.800000	0.800000	2.000000	subtitle_story_1_end	1
5	2	0	subtitle_story_2_001	0	2.000000	1.500000	0.500000	0.300000	1.500000		1
6	2	0	subtitle_story_2_003	0	0.000000	0.000000	0.500000	0.300000	1.500000		1
7	2	1		0	0.000000	0.000000	0.000000	0.000000	2.000000		1
8	3	1	subtitle_story_3_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		0
9	3	1	subtitle_story_3_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		0
10	3	1	subtitle_story_3_003	0	0.000000	0.000000	0.500000	0.300000	2.000000		0
11	5	0		0	0.000000	1.500000	0.000000	0.000000	1.000000		0
12	5	1	subtitle_story_5_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
13	6	0		0	0.000000	1.500000	0.000000	0.000000	1.000000		0
14	6	1	subtitle_story_6_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
15	7	0		0	0.000000	1.500000	0.000000	0.000000	1.000000		0
16	7	1	subtitle_story_7_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
17	8	1	subtitle_story_8_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		0
18	8	1	subtitle_story_8_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		0
19	8	1	subtitle_story_8_003	0	0.000000	0.000000	0.500000	0.300000	2.000000		0
20	9	1	subtitle_story_9_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		1
21	9	1	subtitle_story_9_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
22	9	1	subtitle_story_9_003	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
23	10	1	subtitle_story_10_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		1
24	10	1	subtitle_story_10_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
25	11	0		0	0.000000	1.500000	0.000000	0.000000	1.000000		0
26	11	1	subtitle_story_11_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
27	12	0		0	0.000000	1.500000	0.000000	0.000000	1.000000		0
28	12	0	subtitle_story_12_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
29	13	1	subtitle_story_13_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		1
30	13	1	subtitle_story_13_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
31	13	1	subtitle_story_13_003	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
32	14	1	subtitle_story_14_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		1
33	14	1	subtitle_story_14_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
34	14	1	subtitle_story_14_003	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
35	15	1	subtitle_story_15_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		1
36	15	1	subtitle_story_15_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
37	15	1	subtitle_story_15_003	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
38	16	1	subtitle_story_16_001	0	0.000000	2.000000	0.800000	0.300000	2.000000		1
39	16	1	subtitle_story_16_002	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
40	16	1	subtitle_story_16_003	0	0.000000	0.000000	0.500000	0.300000	2.000000		1
41	17	0		0	0.000000	1.500000	0.000000	0.000000	1.000000		0
42	17	1	subtitle_story_17_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
43	18	1	subtitle_story_18_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
44	19	1	subtitle_story_19_001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
45	19	1	subtitle_story_19_002	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
46	100102	1	subtitle_story_100102	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
47	100203	1	subtitle_story_100203	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
48	100302	1	subtitle_story_100302	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
49	100303	1	subtitle_story_100303	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
50	100401	1	subtitle_story_100401	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
51	100503	1	subtitle_story_100503	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
52	100604	1	subtitle_story_100604	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
53	100701	1	subtitle_story_100701	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
54	100801	1	subtitle_story_100801	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
55	100803	1	subtitle_story_100803	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
56	100804	1	subtitle_story_100804	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
57	100903	1	subtitle_story_100903	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
58	101001	1	subtitle_story_101001	0	0.000000	0.000000	0.800000	0.800000	2.000000		0
