套装编号	套装名称	套装总数
int	string	string
Id	SuitName	SuitEquipSum
10203201	SuitName_10203201	6
10203202	SuitName_10203202	6
10203203	SuitName_10203203	6
10203204	SuitName_10203204	6
10203205	SuitName_10203205	6
10203206	SuitName_10203206	6
10204201	SuitName_10204201	6
10204202	SuitName_10204202	6
10204203	SuitName_10204203	6
10204204	SuitName_10204204	6
10204205	SuitName_10204205	6
10204206	SuitName_10204206	6
10405401	SuitName_10405401	6
10405402	SuitName_10405402	6
10405403	SuitName_10405403	6
10405404	SuitName_10405404	6
10405405	SuitName_10405405	6
10405406	SuitName_10405406	6
20304299	SuitName_20304299	6
20304298	SuitName_20304298	6
20354399	SuitName_20354399	6
20354398	SuitName_20354398	6
20354397	SuitName_20354397	6
20355399	SuitName_20355399	6
20355398	SuitName_20355398	6
20355397	SuitName_20355397	6
40011401	SuitName_40011401	3
40011402	SuitName_40011402	3
40011403	SuitName_40011403	3
40011404	SuitName_40011404	3
40011405	SuitName_40011405	2
40011406	SuitName_40011406	3
40011407	SuitName_40011407	3
40011408	SuitName_40011408	3
40011409	SuitName_40011409	3
40021401	SuitName_40021401	3
40021402	SuitName_40021402	3
40021403	SuitName_40021403	3
40021404	SuitName_40021404	3
40021405	SuitName_40021405	2
40021406	SuitName_40021406	3
40021407	SuitName_40021407	3
40021408	SuitName_40021408	3
40021409	SuitName_40021409	3
40031401	SuitName_40031401	3
40031402	SuitName_40031402	3
40031403	SuitName_40031403	3
40031404	SuitName_40031404	3
40031405	SuitName_40031405	2
40031406	SuitName_40031406	3
40031407	SuitName_40031407	3
40031408	SuitName_40031408	3
40031409	SuitName_40031409	3
40041401	SuitName_40041401	3
40041402	SuitName_40041402	3
40041403	SuitName_40041403	3
40041404	SuitName_40041404	3
40041405	SuitName_40041405	2
40041406	SuitName_40041406	3
40041407	SuitName_40041407	3
40041408	SuitName_40041408	3
40041409	SuitName_40041409	3
40051401	SuitName_40051401	3
40051402	SuitName_40051402	3
40051403	SuitName_40051403	3
40051404	SuitName_40051404	3
40051405	SuitName_40051405	2
40051406	SuitName_40051406	3
40051407	SuitName_40051407	3
40051408	SuitName_40051408	3
40051409	SuitName_40051409	3
40061401	SuitName_40061401	3
40061402	SuitName_40061402	3
40061403	SuitName_40061403	3
40061404	SuitName_40061404	3
40061405	SuitName_40061405	2
40061406	SuitName_40061406	3
40061407	SuitName_40061407	3
40061408	SuitName_40061408	3
40061409	SuitName_40061409	3
40071401	SuitName_40071401	3
40071402	SuitName_40071402	3
40071403	SuitName_40071403	3
40071404	SuitName_40071404	3
40071405	SuitName_40071405	2
40071406	SuitName_40071406	3
40071407	SuitName_40071407	3
40071408	SuitName_40071408	3
40071409	SuitName_40071409	3
40081401	SuitName_40081401	3
40081402	SuitName_40081402	3
40081403	SuitName_40081403	3
40081404	SuitName_40081404	3
40081405	SuitName_40081405	2
40081406	SuitName_40081406	3
40081407	SuitName_40081407	3
40081408	SuitName_40081408	3
40081409	SuitName_40081409	3
40011410	SuitName_40011410	3
40021410	SuitName_40021410	3
40031410	SuitName_40031410	3
40041410	SuitName_40041410	3
40051410	SuitName_40051410	3
40061410	SuitName_40061410	3
40071410	SuitName_40071410	3
40081410	SuitName_40081410	3
40011411	SuitName_40011411	2
40021411	SuitName_40021411	2
40031411	SuitName_40031411	2
40041411	SuitName_40041411	2
40051411	SuitName_40051411	2
40061411	SuitName_40061411	2
40071411	SuitName_40071411	2
40081411	SuitName_40081411	2
40011412	SuitName_40011412	2
40021412	SuitName_40021412	2
40031412	SuitName_40031412	2
