流水id	套装编号	套装类型	套装数量	属性值ID	战力类型	战力计算	提升技能	提升等级数量	BuffID	属性描述	需求进阶品阶数	进阶分组
int	int	int	int	string	int	int	string	int	string	string	int	int
Id	SuitId	SuitType	SuitNum	PropValueId	CPType	CPValue	SkillLevelUp	LevelUpNum	BuffId	PropDesc	NeedAdvanced	AdvancedGroup
1	20304298	1	2	1100253004	1	6		0			0	1
2	20304298	1	3	1100253005	1	6		0			0	1
3	20304298	1	4	1100253006	1	6		0			0	1
4	20354399	1	2	1100253501	1	6		0			0	1
5	20354399	1	3	1100253502	1	6		0			0	1
6	20354399	1	4	1100253503	1	6		0			0	1
7	20354398	1	2	1100253504	1	6		0			0	1
8	20354398	1	3	1100253505	1	6		0			0	1
9	20354398	1	4	1100253506	1	6		0			0	1
10	20354397	1	2	1100253507	1	6		0			0	1
11	20354397	1	3	1100253508	1	6		0			0	1
12	20354397	1	4	1100253509	1	6		0			0	1
13	20355397	1	2	1100253516	1	6		0			0	1
14	20355397	1	3	1100253517	1	6		0			0	1
15	20355397	1	4	1100253518	1	6		0			0	1
16	40011401	2	2	401001	1	6		0			0	0
17	40011401	2	3	401002	1	6		0			0	0
18	40011402	2	2	401001	1	6		0			0	0
19	40011402	2	3	401002	1	6		0			0	0
20	40011403	2	2	401001	1	6		0			0	0
21	40011403	2	3	401002	1	6		0			0	0
22	40011404	2	2	401001	1	6		0			0	0
23	40011404	2	3	401002	1	6		0			0	0
24	40011405	2	2	401003	1	6		0			0	0
25	40011406	2	2	401001	1	6		0			0	0
26	40011406	2	3	401002	1	6		0			0	0
27	40011407	2	2	401001	1	6		0			0	0
28	40011407	2	3	401002	1	6		0			0	0
29	40011408	2	2	401001	1	6		0			0	0
30	40011408	2	3	401002	1	6		0			0	0
31	40011409	2	2	401001	1	6		0			0	0
32	40011409	2	3	401002	1	6		0			0	0
33	40021401	2	2	401001	1	6		0			0	0
34	40021401	2	3	401002	1	6		0			0	0
35	40021402	2	2	401001	1	6		0			0	0
36	40021402	2	3	401002	1	6		0			0	0
37	40021403	2	2	401001	1	6		0			0	0
38	40021403	2	3	401002	1	6		0			0	0
39	40021404	2	2	401001	1	6		0			0	0
40	40021404	2	3	401002	1	6		0			0	0
41	40021405	2	2	401003	1	6		0			0	0
42	40021406	2	2	401001	1	6		0			0	0
43	40021406	2	3	401002	1	6		0			0	0
44	40021407	2	2	401001	1	6		0			0	0
45	40021407	2	3	401002	1	6		0			0	0
46	40021408	2	2	401001	1	6		0			0	0
47	40021408	2	3	401002	1	6		0			0	0
48	40021409	2	2	401001	1	6		0			0	0
49	40021409	2	3	401002	1	6		0			0	0
50	40031401	2	2	401001	1	6		0			0	0
51	40031401	2	3	401002	1	6		0			0	0
52	40031402	2	2	401001	1	6		0			0	0
53	40031402	2	3	401002	1	6		0			0	0
54	40031403	2	2	401001	1	6		0			0	0
55	40031403	2	3	401002	1	6		0			0	0
56	40031404	2	2	401001	1	6		0			0	0
57	40031404	2	3	401002	1	6		0			0	0
58	40031405	2	2	401003	1	6		0			0	0
59	40031406	2	2	401001	1	6		0			0	0
60	40031406	2	3	401002	1	6		0			0	0
61	40031407	2	2	401001	1	6		0			0	0
62	40031407	2	3	401002	1	6		0			0	0
63	40031408	2	2	401001	1	6		0			0	0
64	40031408	2	3	401002	1	6		0			0	0
65	40031409	2	2	401001	1	6		0			0	0
66	40031409	2	3	401002	1	6		0			0	0
67	40041401	2	2	401001	1	6		0			0	0
68	40041401	2	3	401002	1	6		0			0	0
69	40041402	2	2	401001	1	6		0			0	0
70	40041402	2	3	401002	1	6		0			0	0
71	40041403	2	2	401001	1	6		0			0	0
72	40041403	2	3	401002	1	6		0			0	0
73	40041404	2	2	401001	1	6		0			0	0
74	40041404	2	3	401002	1	6		0			0	0
75	40041405	2	2	401003	1	6		0			0	0
76	40041406	2	2	401001	1	6		0			0	0
77	40041406	2	3	401002	1	6		0			0	0
78	40041407	2	2	401001	1	6		0			0	0
79	40041407	2	3	401002	1	6		0			0	0
80	40041408	2	2	401001	1	6		0			0	0
81	40041408	2	3	401002	1	6		0			0	0
82	40041409	2	2	401001	1	6		0			0	0
83	40041409	2	3	401002	1	6		0			0	0
84	40051401	2	2	401001	1	6		0			0	0
85	40051401	2	3	401002	1	6		0			0	0
86	40051402	2	2	401001	1	6		0			0	0
87	40051402	2	3	401002	1	6		0			0	0
88	40051403	2	2	401001	1	6		0			0	0
89	40051403	2	3	401002	1	6		0			0	0
90	40051404	2	2	401001	1	6		0			0	0
91	40051404	2	3	401002	1	6		0			0	0
92	40051405	2	2	401003	1	6		0			0	0
93	40051406	2	2	401001	1	6		0			0	0
94	40051406	2	3	401002	1	6		0			0	0
95	40051407	2	2	401001	1	6		0			0	0
96	40051407	2	3	401002	1	6		0			0	0
97	40051408	2	2	401001	1	6		0			0	0
98	40051408	2	3	401002	1	6		0			0	0
99	40051409	2	2	401001	1	6		0			0	0
100	40051409	2	3	401002	1	6		0			0	0
101	40061401	2	2	401001	1	6		0			0	0
102	40061401	2	3	401002	1	6		0			0	0
103	40061402	2	2	401001	1	6		0			0	0
104	40061402	2	3	401002	1	6		0			0	0
105	40061403	2	2	401001	1	6		0			0	0
106	40061403	2	3	401002	1	6		0			0	0
107	40061404	2	2	401001	1	6		0			0	0
108	40061404	2	3	401002	1	6		0			0	0
109	40061405	2	2	401003	1	6		0			0	0
110	40061406	2	2	401001	1	6		0			0	0
111	40061406	2	3	401002	1	6		0			0	0
112	40061407	2	2	401001	1	6		0			0	0
113	40061407	2	3	401002	1	6		0			0	0
114	40061408	2	2	401001	1	6		0			0	0
115	40061408	2	3	401002	1	6		0			0	0
116	40061409	2	2	401001	1	6		0			0	0
117	40061409	2	3	401002	1	6		0			0	0
118	40071401	2	2	401001	1	6		0			0	0
119	40071401	2	3	401002	1	6		0			0	0
120	40071402	2	2	401001	1	6		0			0	0
121	40071402	2	3	401002	1	6		0			0	0
122	40071403	2	2	401001	1	6		0			0	0
123	40071403	2	3	401002	1	6		0			0	0
124	40071404	2	2	401001	1	6		0			0	0
125	40071404	2	3	401002	1	6		0			0	0
126	40071405	2	2	401003	1	6		0			0	0
127	40071406	2	2	401001	1	6		0			0	0
128	40071406	2	3	401002	1	6		0			0	0
129	40071407	2	2	401001	1	6		0			0	0
130	40071407	2	3	401002	1	6		0			0	0
131	40071408	2	2	401001	1	6		0			0	0
132	40071408	2	3	401002	1	6		0			0	0
133	40071409	2	2	401001	1	6		0			0	0
134	40071409	2	3	401002	1	6		0			0	0
135	40081401	2	2	401001	1	6		0			0	0
136	40081401	2	3	401002	1	6		0			0	0
137	40081402	2	2	401001	1	6		0			0	0
138	40081402	2	3	401002	1	6		0			0	0
139	40081403	2	2	401001	1	6		0			0	0
140	40081403	2	3	401002	1	6		0			0	0
141	40081404	2	2	401001	1	6		0			0	0
142	40081404	2	3	401002	1	6		0			0	0
143	40081405	2	2	401003	1	6		0			0	0
144	40081406	2	2	401001	1	6		0			0	0
145	40081406	2	3	401002	1	6		0			0	0
146	40081407	2	2	401001	1	6		0			0	0
147	40081407	2	3	401002	1	6		0			0	0
148	40081408	2	2	401001	1	6		0			0	0
149	40081408	2	3	401002	1	6		0			0	0
150	40081409	2	2	401001	1	6		0			0	0
151	40081409	2	3	401002	1	6		0			0	0
152	40011410	2	2	401001	1	6		0			0	0
153	40011410	2	3	401002	1	6		0			0	0
154	40021410	2	2	401001	1	6		0			0	0
155	40021410	2	3	401002	1	6		0			0	0
156	40031410	2	2	401001	1	6		0			0	0
157	40031410	2	3	401002	1	6		0			0	0
158	40041410	2	2	401001	1	6		0			0	0
159	40041410	2	3	401002	1	6		0			0	0
160	40051410	2	2	401001	1	6		0			0	0
161	40051410	2	3	401002	1	6		0			0	0
162	40061410	2	2	401001	1	6		0			0	0
163	40061410	2	3	401002	1	6		0			0	0
164	40071410	2	2	401001	1	6		0			0	0
165	40071410	2	3	401002	1	6		0			0	0
166	40081410	2	2	401001	1	6		0			0	0
167	40081410	2	3	401002	1	6		0			0	0
168	40011411	2	2	401003	1	6		0			0	0
169	40021411	2	2	401003	1	6		0			0	0
170	40031411	2	2	401003	1	6		0			0	0
171	40041411	2	2	401003	1	6		0			0	0
172	40051411	2	2	401003	1	6		0			0	0
173	40061411	2	2	401003	1	6		0			0	0
174	40071411	2	2	401003	1	6		0			0	0
175	40081411	2	2	401003	1	6		0			0	0
176	40011412	2	2	401003	1	6		0			0	0
177	40021412	2	2	401003	1	6		0			0	0
178	40031412	2	2	401003	1	6		0			0	0
179	40041412	2	2	401003	1	6		0			0	0
180	40051412	2	2	401003	1	6		0			0	0
181	40061412	2	2	401003	1	6		0			0	0
182	40071412	2	2	401003	1	6		0			0	0
183	40081412	2	2	401003	1	6		0			0	0
184	40011413	2	2	401003	1	6		0			0	0
185	40021413	2	2	401003	1	6		0			0	0
186	40031413	2	2	401003	1	6		0			0	0
187	40041413	2	2	401003	1	6		0			0	0
188	40051413	2	2	401003	1	6		0			0	0
189	40061413	2	2	401003	1	6		0			0	0
190	40071413	2	2	401003	1	6		0			0	0
191	40081413	2	2	401003	1	6		0			0	0
192	40011414	2	2	401003	1	6		0			0	0
193	40021414	2	2	401003	1	6		0			0	0
194	40031414	2	2	401003	1	6		0			0	0
195	40041414	2	2	401003	1	6		0			0	0
196	40051414	2	2	401003	1	6		0			0	0
197	40061414	2	2	401003	1	6		0			0	0
198	40071414	2	2	401003	1	6		0			0	0
199	40081414	2	2	401003	1	6		0			0	0
200	40011415	2	2	401003	1	6		0			0	0
201	40021415	2	2	401003	1	6		0			0	0
202	40031415	2	2	401003	1	6		0			0	0
203	40041415	2	2	401003	1	6		0			0	0
204	40051415	2	2	401003	1	6		0			0	0
205	40061415	2	2	401003	1	6		0			0	0
206	40071415	2	2	401003	1	6		0			0	0
207	40081415	2	2	401003	1	6		0			0	0
208	40011416	2	2	401003	1	6		0			0	0
209	40021416	2	2	401003	1	6		0			0	0
210	40031416	2	2	401003	1	6		0			0	0
211	40041416	2	2	401003	1	6		0			0	0
212	40051416	2	2	401003	1	6		0			0	0
213	40061416	2	2	401003	1	6		0			0	0
214	40071416	2	2	401003	1	6		0			0	0
215	40081416	2	2	401003	1	6		0			0	0
216	40011417	2	2	401003	1	6		0			0	0
217	40021417	2	2	401003	1	6		0			0	0
218	40031417	2	2	401003	1	6		0			0	0
219	40041417	2	2	401003	1	6		0			0	0
220	40051417	2	2	401003	1	6		0			0	0
221	40061417	2	2	401003	1	6		0			0	0
222	40071417	2	2	401003	1	6		0			0	0
223	40081417	2	2	401003	1	6		0			0	0
224	40011418	2	2	401001	1	6		0			0	0
225	40021418	2	2	401001	1	6		0			0	0
226	40031418	2	2	401001	1	6		0			0	0
227	40041418	2	2	401001	1	6		0			0	0
228	40051418	2	2	401001	1	6		0			0	0
