邮件ID	按钮名字
string	string
Id	ButtonName
mail1	
mail2	
mail3	
mail4	
mail_achievement	
mail_worldboss	
mail_worldboss_personal	
guild_no_money	
mail_arena_rank_award	
mail_pvp_fight_award	
mail_pvp_first_win_award	
mail_pvp_ten_fight_award	
mail_dropt_compensate	
mail_ridepet_dispatch	
mail_secret_team_sever_reward	
bag_full_back_item_mail	
exchange_fail_back_item_mail	
exchange_buy_succeed_maill	
exchange_item_off	
exchange_sellsucceed_maill	
exchange_not_be_selected_mail	
mail_secret_team_private_reward	
mail_secret_single_server_reward	
mail_callboss_reward	
exchange_buy_succeed_maill2	
exchange_not_be_selected_mail2	
exchange_selected_maill	
mail_secret_unlimit_seasondistance_reward	
mail_secret_unlimit_seasonrank_reward	
mail_secret_unlimit_target_reward	
mail_guild_redcard__return	
mail_secret_unlimit_seasonnorank_reward	
mail_rank_reward	
mail_activity_checkin__return	
auction_buy_succeed_mail	
auction_buy_fail_mail	
auction_profit_mail	
auction_guild_dismiss	
mail_guild_expel	
mail_guild_donate	
mail_conquerway_reward	
mail_npc_represent	
mail_active_reward_return	
guild_no_money_dismiss	
mail_drop_pickup_protect	
mail_pvp_first_win_award_no_get	
mail_pvp_ten_fight_award_no_get	
mail_worldtask_reward_no_get	
mail_guildboss_modifytime	
mail_guildtreasure_overdue	
mail_pvp_fight_award_offline	
mail_guildboss_participationreward	
mail_guildboss_killreward	
mail_guildtreasure_distribution	
mail_player_levelup_10	
mail_player_levelup_20	
mail_player_levelup_30	
mail_player_levelup_40	
mail_player_levelup_50	
mail_player_levelup_60	
mail_task_reward_not_get	
mail_sub_task_10100160	InteractiveBox
mail_sub_task_10200110	
mail_sub_task_10200220	mail_button_8012
mail_task_hero_road_open	mail_button_8013
mail_task_guild_invite	mail_button_8014
mail_task_worldtask_open	mail_button_8012
mail_task_10300260	mail_button_8012
mail_task_10100160	
mail_task_8050090	mail_button_8012
mail_sub_task_10300090	
mail_sub_task_10300160	mail_button_8012
mail_accept_task_510020	mail_button_8012
mail_tarot_tips	
mail_crack_tips	
mail_dungeon_tips	
mail_worldtask_tips	
mail_mercenary_tips	
mail_quiz_wrongreward	
mail_quiz_clearreward	
mail_guild_weekhelp	
mail_guild_taskringbefunded	
mail_pet_breakhelpreward	
mail_pvp_rank_award	
mail_dungeon_box_award	
mail_recharge_redcard_return	
mail_member_gift_reward	
mail_subspace_personal_reward	
mail_summonbottle_monster_reward	
mail_summonbottle_monstermiss	
mail_currencyfreeze_general	
mail_active_autoreward_return	
mail_active_growfund_return	
mail_active_monthcarddouble_return	
mail_currencyfreeze_closerexchange	
mail_currencyfreeze_openexchange	
mail_relationship_mailreward	
mail_exchange_change_tosell	
mail_exchange_change_tobuy	
mail_rune_item	
mail_subspace_personal_reward1	
mail_active_common_reward	
mail_tower_common_reward	
mail_tower_perfect_reward	
mail_get_fishboss_reward	
mail_battlefield_first_win_award_no_get	
mail_battlefield_two_time_award_no_get	
mail_fashion_callback	
mail_guildwar_capitalreward	
mail_exchange_beback	
mail_activity_dungeon_rankreward	
mail_activity_dungeon_reward	
mail_activity_fourteentargets_reward	
mail_activity_startreasure_reward	
mail_rideoverdue_notice	
mail_activity_tower_rankreward	
mail_activity_tower_reward	
mail_guild_notice	
mail_fixedteam_out	
mail_guildwar_victoryreward	
mail_heroroad_expmakeup	
mail_heroroad_chestexpmakeup	
mail_activity_firstrechargegiftreward	
mail_activity_totalrecharge	
mail_friend_gift	
mail_rechargerebate_dimond	
mail_rechargerebate_login	
mail_rechargerebate_rechargetype01	
mail_rechargerebate_rechargetype02	
mail_rechargerebate_rechargetype03	
mail_rechargerebate_rechargetype04	
mail_rechargerebate_rechargetype05	
mail_rechargerebate_rechargetype06	
mail_taluopai_returnreward	
mail_divorceinformnotice	
mail_divorceinforagreemnotice	
mail_divorceinformrefusenotice	
mail_divorcenotice	
mail_cancelforcedivorcenotice	
mail_cancelengagenotice	
mail_divorceinformrefusenotice2	
mail_divorceinformconfirmnotice	
mail_deleteoverduedivorcenotice	
mail_activity_login_reward	
mail_forcedivorceinformnotice	
mail_thirdpartypayment	
mail_ringerrornotice	
mail_activity_commonactive_qixi	
mail_auction_return	
mail_guildleague_winreward	
mail_guildleague_losereward	
mail_guildleague_seasonreward	
mail_guildleague_chestovertime	
mail_mergezone_datereward	
mail_kingtower_levelreward	
mail_battlepass_reward	
mail_guildleague_matchnotice	
mail_szellpeak_title	
mail_auction_buy_leaveguild	
mail_auction_buy_mergeserver	
mail_name_mergeserver	
mail_guildname_mergeserver	
mail_fixedteamname_mergeserver	
mail_kingtower_seasonreward	
mail_ba_forging_rank_reward	
mail_kingtower_activereward	
mail_bafish_rank_reward	
mail_ba_fish_point_reward	
mail_bafish_hangup_reward	
mail_baforging_exchange_reward	
mail_baforging_integ_reward	
mail_wedding_invitation	
mail_wedding_cash_gift	
mail_cake_fight_victory_reward	
mail_cake_fight_fail_reward	
mail_pricecutting_reissue_reward	
mail_koi_box_reward	
mail_pricecutting_localrank_reward	
mail_pricecutting_pubrank_reward	
mail_pricecutting_returndiamond	
mail_wedding_bcak_money	
mail_starawake_activity_reward	
mail_starawake_invite	mail_button_2751
mail_snowballdash_levelup	
mail_snowballdash_rankreward	
mail_flop_game_rank_reward	
mail_disasterinvade_teamkill_reward	
