成就ID	分类页签	需求激活个数	激活属性	增加评分
int	int	int	string	int
Id	Label	AchievementNumber	AchievementPropID	Score
1001	1	12	1,160;4,12	70
1002	1	24	1,180;3,12	75
1003	1	36	1,200;4,16	90
1004	1	48	1,220;3,16	95
1005	1	60	1,240;4,20	110
1006	1	72	1,260;3,20	115
2001	2	12	1,200;4,16	90
2002	2	24	1,240;3,16	100
2003	2	36	1,280;4,20	120
2004	2	48	1,320;3,20	130
2005	2	60	1,360;4,24	150
2006	2	72	1,400;3,24	160
3001	3	12	1,240;4,20	110
3002	3	24	1,280;3,20	120
3003	3	36	1,320;4,24	140
3004	3	48	1,360;3,24	150
3005	3	60	1,400;4,28	170
3006	3	72	1,440;3,28	180
4001	4	12	25,80;34,100	160
4002	4	24	26,80;35,100	160
4003	4	36	23,100;32,100	175
4004	4	48	24,100;33,100	175
4005	4	60	21,120;30,100	190
4006	4	72	22,120;31,100	190
5001	5	15	1,500;11,50	200
5002	5	30	4,50;13,50	200
5003	5	45	3,50;12,50	200
5004	5	60	1,800;11,100	350
5005	5	75	4,80;13,100;184,500	650
5006	5	90	3,80;12,100;184,500	650
