图鉴ID	对应道具	分类	分类名	编号	排序	闪卡标记	分解获得记忆碎片	分解道具	合成记忆碎片需求	合成道具需求	收集点数	卡牌资源	展示类型	展示模型id	UI界面模型倍数	UI界面模型位置	简介	卡牌类型
int	string	int	string	int	int	int	int	string	int	string	int	string	int	string	float	string	string	int
Id	ItemId	Type	TypeName	Number	NumberOrder	IsValuable	Decompose	DecomposeItem	Synthesis	SynthesisItem	CollectPoint	CardName	ShowType	ShowModel	AvatarZoom	AvatarLocation	LanguageID	CardType
102001	item200000102001	2	SzellPeakTypeName_2	1	10	0	2		5		3	card_200000102001	1	monster10002001	1.000000	0;0;0		1
102002	item200000102002	2	SzellPeakTypeName_2	2	20	0	2		5		3	card_200000102002	1	monster10002002	1.000000	0;0;0		1
102003	item200000102003	2	SzellPeakTypeName_2	3	30	0	2		5		3	card_200000102003	1	monster10002003	1.000000	0;0;0		1
102004	item200000102004	2	SzellPeakTypeName_2	4	40	0	2		5		3	card_200000102004	1	monster10003001	1.000000	0;0;0		1
102005	item200000102005	2	SzellPeakTypeName_2	5	50	0	2		5		3	card_200000102005	1	monster10003002	1.000000	0;0;0		1
102006	item200000102006	2	SzellPeakTypeName_2	6	60	0	2		5		3	card_200000102006	2	pet_156	1.200000	0;0;0		1
102007	item200000102007	2	SzellPeakTypeName_2	7	70	0	2		5		3	card_200000102007	1	monster10004002	1.000000	0;0;0		1
102008	item200000102008	2	SzellPeakTypeName_2	8	80	0	2		5		3	card_200000102008	1	monster10004003	1.000000	0;0;0		1
102009	item200000102009	2	SzellPeakTypeName_2	9	90	0	2		5		3	card_200000102009	1	monster10004004	1.000000	0;0;0		1
102010	item200000102010	2	SzellPeakTypeName_2	10	100	0	2		5		3	card_200000102010	2	pet_168	0.800000	0;0;0		1
102011	item200000102011	2	SzellPeakTypeName_2	11	110	0	2		5		3	card_200000102011	2	pet_162	1.000000	0;-0.3;-0.6		1
102012	item200000102012	2	SzellPeakTypeName_2	12	120	0	2		5		3	card_200000102012	2	pet_164	1.000000	0;-0.3;-0.6		1
102013	item200000102013	2	SzellPeakTypeName_2	13	130	0	2		5		3	card_200000102013	2	pet_174	1.000000	0;0;0		1
102014	item200000102014	2	SzellPeakTypeName_2	14	140	0	2		5		3	card_200000102014	1	monster10006005	0.900000	0;0;0		1
102015	item200000102015	2	SzellPeakTypeName_2	15	150	0	2		5		3	card_200000102015	1	monster10006008	0.500000	0;0;0		1
102016	item200000102016	2	SzellPeakTypeName_2	16	160	0	2		5		3	card_200000102016	1	monster10002005	1.000000	0;0;0		1
102017	item200000102017	2	SzellPeakTypeName_2	17	170	0	2		5		3	card_200000102017	1	monster10002006	1.000000	0;0;0		1
102018	item200000102018	2	SzellPeakTypeName_2	18	180	0	2		5		3	card_200000102018	1	monster10002007	1.000000	0;0;0		1
102019	item200000102019	2	SzellPeakTypeName_2	19	190	0	2		5		3	card_200000102019	2	pet_154	1.000000	0;0;0		1
102020	item200000102020	2	SzellPeakTypeName_2	20	200	0	2		5		3	card_200000102020	1	monster10003005	1.000000	0;0.5;0		1
102021	item200000102021	2	SzellPeakTypeName_2	21	210	0	2		5		3	card_200000102021	1	monster10003006	1.000000	0;0;0		1
102022	item200000102022	2	SzellPeakTypeName_2	22	220	0	2		5		3	card_200000102022	1	monster10003007	1.000000	0;0;0		1
102023	item200000102023	2	SzellPeakTypeName_2	23	230	0	2		5		3	card_200000102023	1	monster10003009	1.000000	0;0;0		1
102024	item200000102024	2	SzellPeakTypeName_2	24	240	0	2		5		3	card_200000102024	1	monster10003010	1.000000	0;0;0		1
