组合图鉴ID	分类页签	页签显示排序	页签名	页签描述	页签图	图鉴显示排序	图鉴名	激活需求	激活属性	增加评分	页签显示星级
int	int	int	string	string	string	int	string	string	string	int	int
Id	Label	LabelOrder	LabelName	LabelDes	LabelIcon	NumberOrder	CombinationName	Cost	CombinationPropID	Score	LabelStar
10000001	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	1000	CombinationName10000001	102001,1	1,30	10	2
10000002	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	999	CombinationName10000002	102002,1	1,30	10	2
10000003	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	998	CombinationName10000003	102003,1	4,3	10	2
10000004	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	997	CombinationName10000004	102016,1	3,3	10	2
10000005	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	996	CombinationName10000005	102017,1	1,30	10	2
10000006	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	995	CombinationName10000006	102018,1	4,3	10	2
10000007	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	994	CombinationName10000007	102019,1	1,30	10	2
10000008	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	993	CombinationName10000008	102004,1	3,3	10	2
10000009	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	992	CombinationName10000009	102005,1	4,3	10	2
10000010	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	991	CombinationName10000010	102006,1	1,30	10	2
10000011	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	990	CombinationName10000011	102020,1	4,3	10	2
10000012	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	989	CombinationName10000012	102021,1	1,30	10	2
10000013	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	988	CombinationName10000013	102022,1	3,3	10	2
10000014	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	987	CombinationName10000014	102023,1	4,3	10	2
10000015	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	986	CombinationName10000015	102024,1	4,3	10	2
10000016	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	985	CombinationName10000016	102007,1	1,30	10	2
10000017	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	984	CombinationName10000017	102008,1	4,3	10	2
10000018	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	983	CombinationName10000018	102009,1	3,3	10	2
10000019	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	982	CombinationName10000019	102025,1	1,30	10	2
10000020	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	981	CombinationName10000020	102026,1	1,30	10	2
10000021	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	980	CombinationName10000021	102027,1	1,30	10	2
10000022	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	979	CombinationName10000022	102028,1	4,3	10	2
10000023	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	978	CombinationName10000023	102029,1	3,3	10	2
10000024	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	977	CombinationName10000024	102010,1	3,3	10	2
10000025	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	976	CombinationName10000025	102011,1	1,30	10	2
10000026	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	975	CombinationName10000026	102012,1	4,3	10	2
10000027	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	974	CombinationName10000027	102030,1	1,30	10	2
10000028	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	973	CombinationName10000028	102031,1	3,3	10	2
10000029	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	972	CombinationName10000029	102032,1	1,30	10	2
10000030	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	971	CombinationName10000030	102033,1	4,3	10	2
10000031	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	970	CombinationName10000031	102034,1	4,3	10	2
10000032	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	969	CombinationName10000032	102013,1	3,3	10	2
10000033	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	968	CombinationName10000033	102014,1	1,30	10	2
10000034	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	967	CombinationName10000034	102015,1	3,3	10	2
10000035	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	966	CombinationName10000035	102035,1	1,30	10	2
10000036	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	965	CombinationName10000036	102001,1;102002,1;102016,1	21,14;22,14	21	2
10000037	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	964	CombinationName10000037	102003,1;102018,1	1,30;4,3	15	2
10000038	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	963	CombinationName10000038	102017,1;102021,1;102004,1;102023,1;102024,1	3,5;23,16;26,16	37	2
10000039	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	962	CombinationName10000039	102008,1;102009,1;102026,1;102027,1;102028,1;102029,1	3,4;4,4;1,50;24,14	43	2
10000040	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	961	CombinationName10000040	102005,1;102022,1;102026,1	22,16;1,40	22	2
10000041	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	960	CombinationName10000041	102017,1;102019,1;102020,1;102027,1	24,14;21,14;22,14	32	2
10000042	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	959	CombinationName10000042	102011,1;102012,1	3,3;4,3	15	2
10000043	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	958	CombinationName10000043	102031,1;102032,1;102033,1	23,14;24,14	21	2
10000044	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	957	CombinationName10000044	102010,1;102030,1	1,30;4,3	15	2
10000045	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	956	CombinationName10000045	102014,1;102015,1;102035,1	3,4;1,50	23	2
10000046	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	955	CombinationName10000046	102013,1;102034,1	1,30;21,10	15	2
10000047	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	954	CombinationName10000047	102023,1;102025,1;102011,1;102012,1;102032,1	1,50;4,5;26,20	40	2
10000048	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	953	CombinationName10000048	102003,1;102009,1;102002,1;102017,1	3,4;4,4;1,40	30	2
10000049	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	952	CombinationName10000049	102036,1	3,3	10	2
10000050	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	951	CombinationName10000050	102037,1	4,3	10	2
10000051	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	950	CombinationName10000051	102038,1	1,30	10	2
10000052	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	949	CombinationName10000052	102039,1	3,3	10	2
10000053	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	948	CombinationName10000053	102040,1	4,3	10	2
10000054	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	947	CombinationName10000054	102041,1	1,30	10	2
