故事点ID	篇章ID	前置点条件	故事类型	故事名称ID	故事内容ID	故事点icon	道具消耗参数	卡牌消耗参数	货币消耗参数	解锁类型	技能奖励	属性奖励	故事坐标点
int	int	int	int	string	string	string	string	string	string	string	string	string	string
Id	ChapterPointId	PreList	StoryPointType	StoryNameId	StoryDescId	StoryIcon	ItemCostValue	CardCostValue	CurrencyValue	UnlockType	SkillValue	AttriValue	Coordinate
10101	10001	0	1	Chapter1_StoryPoint1_Name	Chapter1_StoryPoint1_Desc	n900_portrait01	item200000830001,1		19,30	1,65;2,20		1,150;24,10;25,10	148,-80
10102	10001	10101	1	Chapter1_StoryPoint2_Name	Chapter1_StoryPoint2_Desc	n053_portrait01	item200000830001,2		19,60	1,65;2,50		3,15;21,10;26,10	545,-58
10103	10001	10102	1	Chapter1_StoryPoint3_Name	Chapter1_StoryPoint3_Desc	n052_portrait01	item200000830001,5		19,150	1,65;2,100		11,90;51,60;35,60	334,-210
10104	10001	10103	1	Chapter1_StoryPoint4_Name	Chapter1_StoryPoint4_Desc	equip_130000001109	item200000830001,3		19,90	1,65;2,150		1,200;4,20;22,20	125,-402
10105	10001	10104	1	Chapter1_StoryPoint5_Name	Chapter1_StoryPoint5_Desc	n057_portrait01	item200000830001,4		19,120	1,65;2,200		1,160;3,16;4,16	460,-435
10106	10001	10105	1	Chapter1_StoryPoint6_Name	Chapter1_StoryPoint6_Desc	item_108100101207	item200000830001,10		19,300	1,65;2,400		13,90;52,60;33,60	715,-345
10107	10001	10106	1	Chapter1_StoryPoint7_Name	Chapter1_StoryPoint7_Desc	n085_portrait01	item200000830001,6		19,180	1,65;2,500		4,45;24,30;25,30	985,-420
10108	10001	10107	1	Chapter1_StoryPoint8_Name	Chapter1_StoryPoint8_Desc	n017_portrait01	item200000830001,8		19,240	1,65;2,600		3,45;22,30;23,30	860,-128
10109	10001	10108	1	Chapter1_StoryPoint9_Name	Chapter1_StoryPoint9_Desc	item_101020504008	item200000830001,20		19,600	1,65;2,1000		12,90;30,60;32,60	1130,-110
10110	10001	10109	2	Chapter1_StoryPoint10_Name	Chapter1_StoryPoint10_Desc	n900_portrait01	item200000830001,30;item200000830003,1		19,900	1,65;2,2000	buff6_0003_history01::buff_0_lv1		1270,-325
10201	10002	0	1	Chapter2_StoryPoint1_Name	Chapter2_StoryPoint1_Desc	ach4_gloomypw01	item200000830001,1		19,40	1,70;2,20		1,200;24,12;25,12	148,-80
10202	10002	10201	1	Chapter2_StoryPoint2_Name	Chapter2_StoryPoint2_Desc	n904_portrait01	item200000830001,2		19,80	1,70;2,50		3,20;21,12;26,12	545,-58
10203	10002	10202	1	Chapter2_StoryPoint3_Name	Chapter2_StoryPoint3_Desc	n020_portrait01	item200000830001,5		19,200	1,70;2,100		11,120;51,70;35,70	334,-210
10204	10002	10203	1	Chapter2_StoryPoint4_Name	Chapter2_StoryPoint4_Desc	m042_portrait02	item200000830001,3		19,120	1,70;2,150		1,250;4,25;22,25	125,-402
10205	10002	10204	1	Chapter2_StoryPoint5_Name	Chapter2_StoryPoint5_Desc	n025_portrait01	item200000830001,4		19,160	1,70;2,200		1,200;3,20;4,20	460,-435
10206	10002	10205	1	Chapter2_StoryPoint6_Name	Chapter2_StoryPoint6_Desc	m064_portrait01	item200000830001,10		19,400	1,70;2,400		13,120;52,70;33,70	715,-345
10207	10002	10206	1	Chapter2_StoryPoint7_Name	Chapter2_StoryPoint7_Desc	m038_portrait01	item200000830001,6		19,240	1,70;2,500		4,60;24,40;25,40	985,-420
