Id	故事点ID	技能等级	货币消耗	道具消耗	卡牌消耗参数	技能参数
int	int	int	string	string	string	string
Id	StoryId	Upgrade	CurrencyCostValue	CostValue	CardCostValue	SkillValue
1	10110	2	19,900	item200000830001,30;item200000830003,2		buff6_0003_history01::buff_0_lv2
2	10110	3	19,1800	item200000830001,60;item200000830003,3		buff6_0003_history01::buff_0_lv3
3	10110	4	19,2700	item200000830001,90;item200000830003,5		buff6_0003_history01::buff_0_lv4
4	10110	5	19,3600	item200000830001,120;item200000830003,10		buff6_0003_history01::buff_0_lv5
5	10210	2	19,1200	item200000830001,30;item200000830003,2		buff6_0003_history02::buff_0_lv2
6	10210	3	19,2400	item200000830001,60;item200000830003,3		buff6_0003_history02::buff_0_lv3
7	10210	4	19,3600	item200000830001,90;item200000830003,5		buff6_0003_history02::buff_0_lv4
8	10210	5	19,4800	item200000830001,120;item200000830003,10		buff6_0003_history02::buff_0_lv5
9	10310	2	19,1200	item200000830001,30;item200000830003,2		buff6_0003_history03::buff_0_lv2
10	10310	3	19,2400	item200000830001,60;item200000830003,3		buff6_0003_history03::buff_0_lv3
11	10310	4	19,3600	item200000830001,90;item200000830003,5		buff6_0003_history03::buff_0_lv4
12	10310	5	19,4800	item200000830001,120;item200000830003,10		buff6_0003_history03::buff_0_lv5
13	10410	2	19,2500	item200000830001,50;item200000830003,3		buff6_0003_history04::buff_0_lv2
14	10410	3	19,5000	item200000830001,100;item200000830003,5		buff6_0003_history04::buff_0_lv3
15	10410	4	19,7500	item200000830001,150;item200000830003,7		buff6_0003_history04::buff_0_lv4
16	10410	5	19,10000	item200000830001,200;item200000830003,10		buff6_0003_history04::buff_0_lv5
17	10510	2	19,4000	item200000830001,80;item200000830003,3		buff6_0003_history05::buff_0_lv2
18	10510	3	19,8000	item200000830001,160;item200000830003,5		buff6_0003_history05::buff_0_lv3
19	10510	4	19,12000	item200000830001,240;item200000830003,7		buff6_0003_history05::buff_0_lv4
20	10510	5	19,16000	item200000830001,320;item200000830003,10		buff6_0003_history05::buff_0_lv5
