ID	所属组合图鉴ID	星级	消耗	获得属性	获得巅峰点	增加评分
int	int	int	string	string	int	int
Id	ReferenceId	Star	Cost	CombinationPropID	Peak	Score
1	10000001	1	102001,1	1,18	2	6
2	10000001	2	102001,1	1,12	2	4
3	10000001	3	102001,1	1,12	2	4
4	10000001	4	102001,1	1,6	2	2
5	10000001	5	102001,1	1,6	2	2
6	10000002	1	102002,1	1,18	2	6
7	10000002	2	102002,1	1,12	2	4
8	10000002	3	102002,1	1,12	2	4
9	10000002	4	102002,1	1,6	2	2
10	10000002	5	102002,1	1,6	2	2
11	10000003	1	102003,1	4,2	2	6
12	10000003	2	102003,1	4,1	2	4
13	10000003	3	102003,1	4,1	2	4
14	10000003	4	102003,1	4,1	2	2
15	10000003	5	102003,1	4,1	2	2
16	10000004	1	102016,1	3,2	2	6
17	10000004	2	102016,1	3,1	2	4
18	10000004	3	102016,1	3,1	2	4
19	10000004	4	102016,1	3,1	2	2
20	10000004	5	102016,1	3,1	2	2
21	10000005	1	102017,1	1,18	2	6
22	10000005	2	102017,1	1,12	2	4
23	10000005	3	102017,1	1,12	2	4
24	10000005	4	102017,1	1,6	2	2
25	10000005	5	102017,1	1,6	2	2
26	10000006	1	102018,1	4,2	2	6
27	10000006	2	102018,1	4,1	2	4
28	10000006	3	102018,1	4,1	2	4
29	10000006	4	102018,1	4,1	2	2
30	10000006	5	102018,1	4,1	2	2
31	10000007	1	102019,1	1,18	2	6
32	10000007	2	102019,1	1,12	2	4
33	10000007	3	102019,1	1,12	2	4
34	10000007	4	102019,1	1,6	2	2
35	10000007	5	102019,1	1,6	2	2
36	10000008	1	102004,1	3,2	2	6
37	10000008	2	102004,1	3,1	2	4
38	10000008	3	102004,1	3,1	2	4
39	10000008	4	102004,1	3,1	2	2
40	10000008	5	102004,1	3,1	2	2
41	10000009	1	102005,1	4,2	2	6
42	10000009	2	102005,1	4,1	2	4
43	10000009	3	102005,1	4,1	2	4
44	10000009	4	102005,1	4,1	2	2
45	10000009	5	102005,1	4,1	2	2
46	10000010	1	102006,1	1,18	2	6
47	10000010	2	102006,1	1,12	2	4
48	10000010	3	102006,1	1,12	2	4
49	10000010	4	102006,1	1,6	2	2
50	10000010	5	102006,1	1,6	2	2
51	10000011	1	102020,1	4,2	2	6
52	10000011	2	102020,1	4,1	2	4
53	10000011	3	102020,1	4,1	2	4
54	10000011	4	102020,1	4,1	2	2
55	10000011	5	102020,1	4,1	2	2
56	10000012	1	102021,1	1,18	2	6
57	10000012	2	102021,1	1,12	2	4
58	10000012	3	102021,1	1,12	2	4
59	10000012	4	102021,1	1,6	2	2
60	10000012	5	102021,1	1,6	2	2
61	10000013	1	102022,1	3,2	2	6
62	10000013	2	102022,1	3,1	2	4
63	10000013	3	102022,1	3,1	2	4
64	10000013	4	102022,1	3,1	2	2
65	10000013	5	102022,1	3,1	2	2
66	10000014	1	102023,1	4,2	2	6
67	10000014	2	102023,1	4,1	2	4
68	10000014	3	102023,1	4,1	2	4
69	10000014	4	102023,1	4,1	2	2
70	10000014	5	102023,1	4,1	2	2
71	10000015	1	102024,1	4,2	2	6
72	10000015	2	102024,1	4,1	2	4
73	10000015	3	102024,1	4,1	2	4
74	10000015	4	102024,1	4,1	2	2
75	10000015	5	102024,1	4,1	2	2
76	10000016	1	102007,1	1,18	2	6
77	10000016	2	102007,1	1,12	2	4
78	10000016	3	102007,1	1,12	2	4
79	10000016	4	102007,1	1,6	2	2
80	10000016	5	102007,1	1,6	2	2
81	10000017	1	102008,1	4,2	2	6
82	10000017	2	102008,1	4,1	2	4
83	10000017	3	102008,1	4,1	2	4
84	10000017	4	102008,1	4,1	2	2
85	10000017	5	102008,1	4,1	2	2
86	10000018	1	102009,1	3,2	2	6
87	10000018	2	102009,1	3,1	2	4
88	10000018	3	102009,1	3,1	2	4
89	10000018	4	102009,1	3,1	2	2
90	10000018	5	102009,1	3,1	2	2
91	10000019	1	102025,1	1,18	2	6
92	10000019	2	102025,1	1,12	2	4
93	10000019	3	102025,1	1,12	2	4
94	10000019	4	102025,1	1,6	2	2
95	10000019	5	102025,1	1,6	2	2
96	10000020	1	102026,1	1,18	2	6
97	10000020	2	102026,1	1,12	2	4
98	10000020	3	102026,1	1,12	2	4
99	10000020	4	102026,1	1,6	2	2
100	10000020	5	102026,1	1,6	2	2
101	10000021	1	102027,1	1,18	2	6
102	10000021	2	102027,1	1,12	2	4
103	10000021	3	102027,1	1,12	2	4
104	10000021	4	102027,1	1,6	2	2
105	10000021	5	102027,1	1,6	2	2
106	10000022	1	102028,1	4,2	2	6
107	10000022	2	102028,1	4,1	2	4
108	10000022	3	102028,1	4,1	2	4
109	10000022	4	102028,1	4,1	2	2
110	10000022	5	102028,1	4,1	2	2
111	10000023	1	102029,1	3,2	2	6
112	10000023	2	102029,1	3,1	2	4
113	10000023	3	102029,1	3,1	2	4
114	10000023	4	102029,1	3,1	2	2
115	10000023	5	102029,1	3,1	2	2
116	10000024	1	102010,1	3,2	2	6
117	10000024	2	102010,1	3,1	2	4
118	10000024	3	102010,1	3,1	2	4
119	10000024	4	102010,1	3,1	2	2
120	10000024	5	102010,1	3,1	2	2
121	10000025	1	102011,1	1,18	2	6
122	10000025	2	102011,1	1,12	2	4
123	10000025	3	102011,1	1,12	2	4
124	10000025	4	102011,1	1,6	2	2
125	10000025	5	102011,1	1,6	2	2
126	10000026	1	102012,1	4,2	2	6
127	10000026	2	102012,1	4,1	2	4
128	10000026	3	102012,1	4,1	2	4
129	10000026	4	102012,1	4,1	2	2
130	10000026	5	102012,1	4,1	2	2
131	10000027	1	102030,1	1,18	2	6
132	10000027	2	102030,1	1,12	2	4
133	10000027	3	102030,1	1,12	2	4
134	10000027	4	102030,1	1,6	2	2
135	10000027	5	102030,1	1,6	2	2
136	10000028	1	102031,1	3,2	2	6
137	10000028	2	102031,1	3,1	2	4
138	10000028	3	102031,1	3,1	2	4
139	10000028	4	102031,1	3,1	2	2
140	10000028	5	102031,1	3,1	2	2
141	10000029	1	102032,1	1,18	2	6
142	10000029	2	102032,1	1,12	2	4
143	10000029	3	102032,1	1,12	2	4
144	10000029	4	102032,1	1,6	2	2
145	10000029	5	102032,1	1,6	2	2
146	10000030	1	102033,1	4,2	2	6
147	10000030	2	102033,1	4,1	2	4
148	10000030	3	102033,1	4,1	2	4
149	10000030	4	102033,1	4,1	2	2
150	10000030	5	102033,1	4,1	2	2
