ID	拍摄目标点	相机EulerY	相机EulerXPercent	相机PinchPercent	禁止角色移动	禁止镜头移动	屏蔽类型	超出目标提示	拍照任务参数
int	vector3	float	float	float	bool	bool	string	string	string
Id	TargetPos	CameraEulerY	CameraEulerXPercent	CameraPinchPercent	ForbidPlayerMove	ForbidCameraMove	HideMask	ErrorTips	TaskParams
1001	11.7,-2.0,13.8	724.799988	0.393000	0.430000	1	0	1,2,3	task_photo_tips1	
1002	-31.9,0.6,30.4	-33.900002	0.215700	0.242200	0	0	0,1,2,3	task_photo_tips2	
1003	12.6,-1.7,-46.5	-75.599998	0.002800	0.470000	0	0	0,1,2,3,4,5,6,7	task_photo_tips2	
1004	-23.5,6.2,37.6	408.790009	0.257000	0.280000	0	0	1,2,3	task_photo_tips2	
1005	-54.1,4.1,-28.2	-1124.599976	0.268000	0.520000	0	0	1,2,3,4,7	task_photo_tips2	
1006	-51.3,12.2,-91.4	-172.199997	0.250000	0.220000	0	0	1,2,3,4,7	task_photo_tips2	
1007	-35.3,3.7,-17.4	-1040.000000	0.327280	0.340000	0	0	1,2,3,4,7	task_photo_tips2	
1008	-15.3,1.2,-1.1	11.600000	0.171571	0.160000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
1009	48,2,-3.7	177.600006	0.060143	0.004797	0	0	0,1,2,3,4,6,7	task_photo_tips2	
1010	-4.4,4.8,-27.4	200.000000	0.150000	0.000000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
1011	-51.2,1.6,42.2	-317.000000	0.281424	0.999984	0	0	0,1,2,3,4,6,7	task_photo_tips2	
1012	24.0,-2.0,-65.7	-141.000000	0.378567	0.999984	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2001	-30.4,0.1,58.5	-48.900002	0.233000	0.240000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2002	13.3,-1.2,14.1	-493.799988	0.348000	0.700000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2003	12.4,-3.2,-46.5	-444.369995	0.208700	0.993400	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2004	-11.8,1.1,-36.7	-734.799988	0.255800	0.520000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2005	-3.3,0.8,11.4	-729.000000	0.266000	0.820000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2006	3.9,4.2,58.6	-1786.458008	0.084400	0.520000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2007	-8.1,1.3,-10.7	42.849998	0.058000	0.039000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2008	12.2,3.7,-38.5	132.259995	0.032800	0.940000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2009	68.1,22.2,14.9	-361.700012	0.341000	0.700000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2010	-6.2,7.4,42.4	-413.799988	0.241000	0.700000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2011	-60.8,3,17	-376.170013	0.250000	0.460000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2012	-99.4,15.3,-58.8	305.559998	0.245000	0.939900	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2013	-33.1,4.8,38.9	431.700012	0.252900	0.340000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2014	63.4,9.2,24.7	-664.140015	0.075800	0.700000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
2015	-58.7,8.6,-20	-53.639999	0.017000	0.460000	0	0	0,1,2,3,4,6,7	task_photo_tips2	
