流水ID	对话组	说话者	左右	文本内容	展示时间	延迟播放	是否出现在聊天栏
int	int	string	int	string	int	int	bool
Id	GroupID	Speaker	TalkPos	ContentID	Time	PlayNextTime	Show
1	11100030	hero	1	tips_c1_timu1	8000	2000	1
2	11100030	npc_018_zuoqi	0	tips_c1_timu2	8000	7500	1
3	11100030	npc_018_zuoqi	0	tips_c1_timu3	5000	0	1
4	11100080	hero	1	task_chat_11100080_1	5500	2500	1
5	11100080	npc_10082	0	task_chat_11100080_2	3000	0	1
6	11100085	hero	1	task_chat_11100085_1	8000	4000	1
7	11100085	npc_10082	0	task_chat_11100085_2	4000	0	1
8	11100130	hero	1	task_chat_11100130_1	6000	3000	1
9	11100130	npc_018_lilina	0	task_chat_11100130_2	3000	0	1
10	11100131	npc_018_lilina	0	task_chat_11100131_1	3000	0	1
11	11100140	npc_10082	0	task_chat_11100140_1	9000	3000	1
12	11100140	hero	1	task_chat_11100140_2	6000	3000	1
13	11100140	npc_10082	0	task_chat_11100140_3	3000	0	1
14	10200015	npc_10085	0	task_chat_10200115_1	12000	4000	1
15	10200015	hero	1	task_chat_10200115_2	8000	4000	1
16	10200015	npc_10085	0	task_chat_10200115_3	4000	0	1
17	102002201	npc_20020	0	task_chat_102002201_1	6000	3000	1
18	102002201	hero	1	task_chat_102002201_2	3000	0	1
19	102002202	hero	1	task_chat_102002202_1	9000	3000	1
20	102002202	npc_10020	0	task_chat_102002202_2	6000	3000	1
21	102002202	hero	1	task_chat_102002202_3	3000	0	1
22	102002203	hero	1	task_chat_102002203_1	4000	0	1
23	10300090	hero	1	task_chat_10300090_1	8000	4000	1
24	10300090	npc_10085	0	task_chat_10300090_2	4000	0	1
25	10300091	hero	1	task_chat_10300091_1	8000	4000	1
26	10300091	npc_10085	0	task_chat_10300091_2	4000	0	1
27	10400110	hero	1	task_chat_10400110_1	9000	3000	1
28	10400110	npc_10085	0	task_chat_10400110_2	6000	3000	1
29	10400110	npc_10132	0	task_chat_10400110_3	3000	0	1
30	10500130	npc_10085	0	task_chat_10500130_1	9000	3000	1
31	10500130	npc_10100	0	task_chat_10500130_2	6000	3000	1
32	10500130	hero	1	task_chat_10500130_3	3000	0	1
33	510480	hero	1	task_chat_510480_1	6000	3000	1
34	510480	npc_10007	0	task_chat_510480_2	3000	0	1
