副本ID	副本类型	副本组	副本难度	是否需要检测激活	通关开启副本	等级限制	助战次数	是否职业不足提示	团本是否赠送公共次数	使者本是否赠送公共次数	奖励次数终止等级	奖励限制需通关副本	限制最小人数	限制最大人数	玩法描述	副本组名字	副本难度名字前缀	难度icon	icon特效	奖励	奖励展示	延迟时间	延迟显示物品	推荐阵容（或描述）	怪物展示信息	推荐评分	掉率	是否公会新闻	副本任务	进入副本面板页签信息	扫荡解锁前置条件
int	int	int	int	int	string	int	int	bool	int	int	int	int	int	int	string	string	string	string	int	string	string	string	string	string	string	string	int	bool	int	string	int
Id	Type	GroupId	Difficulty	Active	OpenLevel	EnterLevel	AssistNumber	ProfessionNotice	PublicCount	EnvoyPublicCount	RewardEndingLevel	CloneForRewardLimit	LimitMinNumber	LimitNumber	Des	GroupName	DungeonName	IconName	IconEff	Reward	ShowReward	DelayTime	DelayShowReward	Recommend	Monster	Score	DropRate	IsGuildNews	TaskId	EnterPanelTableInfo	UnlockCondition
1036	25	3	1	0	1030	20	0		0	0	45	1031	3	5	1036Des	TeamDungeonTreeNameGroup3	TeamDungeonDegreeName1	jiandan	3000001	item90000000022,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item901020888020,1;item901020999020,1|Self;OtherItem;item101050101001,1;item100100000001,1;item105000000030,1			RecommendTeam01	monster30000360,0.9,145,1;monster30000380,0.7,145,2	4500;5000	0	0	400013	TeamDungeonEnterPanel_ToggleName_Normal,25,3;TeamDungeonEnterPanel_ToggleName_Challenge,27,300;TeamDungeonEnterPanel_ToggleName_Envoy,28,401	1034
1030	25	3	2	1	-1	20	0	1	0	0	45	1031	3	5	1030Des	TeamDungeonTreeNameGroup3	TeamDungeonDegreeName2	kunnan	3000002	item90000000022,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item901030888020,1;item901020888020,1;item901020999020,1|Self;OtherItem;item101050101001,1;item100100000001,1;item105000000030,1			RecommendTeam03	monster30100360,0.9,145,1;monster30100380,0.7,145,2	5500;6000	200	1	400011	TeamDungeonEnterPanel_ToggleName_Normal,25,3;TeamDungeonEnterPanel_ToggleName_Challenge,27,300;TeamDungeonEnterPanel_ToggleName_Envoy,28,401	1034
1037	25	2	1	0	1027	30	0		0	0	55	1033	3	5	1037Des	TeamDungeonTreeNameGroup2	TeamDungeonDegreeName1	jiandan	3000001	item90000000023,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item902030888030,1;item992030888030,1;item901020888030,1;item901020999030,1|Self;OtherItem;item101050101002,1;item100100000001,1;item105000000030,1			RecommendTeam04	monster30000281,0.9,145,1;monster30000280,0.4,145,2;monster30000282,0.5,145,3	7000;7500;8000	0	0	400023	TeamDungeonEnterPanel_ToggleName_Normal,25,2;TeamDungeonEnterPanel_ToggleName_Challenge,27,400;TeamDungeonEnterPanel_ToggleName_Envoy,28,402	1034
1027	25	2	2	1	1028	30	0		0	0	55	1033	3	5	1027Des	TeamDungeonTreeNameGroup2	TeamDungeonDegreeName2	kunnan	3000002	item90000000023,1;item90000000067,1;item107400000002,1;item107400000001,1;item107999900001,1	Self;EquipItem;item902030888030,1;item992030888030,1;item901020888030,1;item901020999030,1|Self;OtherItem;item101050101002,1;item100100000001,1;item105000000030,1			RecommendTeam05	monster30000281,0.9,145,1;monster30000280,0.4,145,2;monster30000282,0.5,145,3	9000;9500;10000	0	0	400020	TeamDungeonEnterPanel_ToggleName_Normal,25,2;TeamDungeonEnterPanel_ToggleName_Challenge,27,400;TeamDungeonEnterPanel_ToggleName_Envoy,28,402	1034
1028	25	2	3	1	-1	30	0	1	0	0	55	1033	3	5	1028Des	TeamDungeonTreeNameGroup2	TeamDungeonDegreeName3	yingxiong	3000003	item90000000026,1;item90000000067,1;item90000000023,1;item107400000002,1;item107400000001,1;item90000000097,1;item107999900001,1	Self;EquipItem;item902030888030,1;item992030888030,1;item901020888030,1;item901020999030,1|Self;OtherItem;item101050101002,1;item100100000002,1;item90000000097,1;item101020505253,1;item101020505301,1;item101020505302,1;item101020505303,1;item101020505304,1;item101020505305,1;item106210300001,1;item105000000031,1;item105000000030,1			RecommendTeam06	monster30100281,0.9,145,1;monster30000280,0.4,145,2;monster30100282,0.5,145,3	13000;13500;14000	200	1	400021	TeamDungeonEnterPanel_ToggleName_Normal,25,2;TeamDungeonEnterPanel_ToggleName_Challenge,27,400;TeamDungeonEnterPanel_ToggleName_Envoy,28,402	1034
1035	25	1	1	0	1025	36	0		0	0	65	1039	3	5	1035Des	TeamDungeonTreeNameGroup1	TeamDungeonDegreeName1	jiandan	3000001	item107000052101,1	Self;EquipItem;item902030888040,1;item992030888040,1;item901020888040,1;item901020999040,1|Self;OtherItem;item101050101003,1;item100100000001,1;item105000000030,1			RecommendTeam07	monster30000160,0.9,145,1;monster30000163,0.9,145,2;monster30000180,0.6,145,3	14000;14500;15000	0	0	400033	TeamDungeonEnterPanel_ToggleName_Normal,25,1;TeamDungeonEnterPanel_ToggleName_Challenge,27,500;TeamDungeonEnterPanel_ToggleName_Envoy,28,403	1034
1025	25	1	2	1	1026	36	0		0	0	65	1039	3	5	1025Des	TeamDungeonTreeNameGroup1	TeamDungeonDegreeName2	kunnan	3000002	item90000000024,1;item90000000067,1;item107400000002,1;item107400000001,1;item90000000097,1;item107999900001,1;item101020503012,1	Self;EquipItem;item902030888040,1;item992030888040,1;item901020888040,1;item901020999040,1|Self;OtherItem;item101050101003,1;item100100000001,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item105000000030,1			RecommendTeam08	monster30000160,0.9,145,1;monster30000163,0.9,145,2;monster30000180,0.6,145,3	18000;19000;20000	0	0	400030	TeamDungeonEnterPanel_ToggleName_Normal,25,1;TeamDungeonEnterPanel_ToggleName_Challenge,27,500;TeamDungeonEnterPanel_ToggleName_Envoy,28,403	1034
1026	25	1	3	1	-1	36	0	1	0	0	65	1039	3	5	1026Des	TeamDungeonTreeNameGroup1	TeamDungeonDegreeName3	yingxiong	3000003	item90000000027,1;item90000000067,1;item90000000024,1;item107400000002,1;item107400000001,1;item90000000097,1;item107999900001,1	Self;EquipItem;item902030888040,1;item992030888040,1;item901020888040,1;item901020999040,1|Self;OtherItem;item101050101003,1;item103015110407,1;item100100000002,1;item90000000097,1;item101020503012,1;item103010132001,1;item103010132011,1;item103010132021,1;item103010132031,1;item103010132101,1;item103010132111,1;item103010133001,1;item103010134001,1;item103010135001,1;item103010136001,1;item103010137001,1;item103010138001,1;item103010133101,1;item103010133111,1;item103010134101,1;item103010134111,1;item103010135101,1;item103010135111,1;item103010136101,1;item103010136111,1;item103010137101,1;item103010137111,1;item103010138101,1;item103010138111,1;item101020505253,1;item101020505301,1;item101020505302,1;item101020505303,1;item101020505304,1;item101020505305,1;item101020501041,1;item106210300001,1;item105000000031,1;item105000000030,1			RecommendTeam09	monster30100160,0.9,145,1;monster30100163,0.9,145,2;monster30100180,0.6,145,3	24000;27000;30000	200	1	400031	TeamDungeonEnterPanel_ToggleName_Normal,25,1;TeamDungeonEnterPanel_ToggleName_Challenge,27,500;TeamDungeonEnterPanel_ToggleName_Envoy,28,403	1034
