道具KEY	商店标签1	商店标签2	道具编号	道具ID	购买所需货币	购买价格	回收获得货币	回收价格	限购类型	限购数量
int	int	int	int	string	int	int	int	int	int	int
Id	LabelId	SubLabelId	GoodsId	ItemId	BuyCurrenyType	BuyCurrenyNum	SellCurrenyType	SellCurrenyNum	BuyLimitType	BuyLimitNum
10000001	1	1	1	item8103010121003	1	50000	1	50000	1	12
10000002	1	1	2	item8103010121004	1	200000	1	200000	1	2
10000013	1	2	3	item103010111102	1	100000	1	100000	1	30
10000014	1	2	4	item103010111103	1	150000	1	150000	1	20
10000015	1	2	5	item103010111104	1	200000	1	200000	1	20
10000016	1	2	6	item103010111105	1	250000	1	250000	1	20
10000017	1	2	7	item103010111106	1	300000	1	300000	1	20
10000018	1	2	8	item103010111107	1	350000	1	350000	1	20
10000019	1	2	8	item103010111108	1	400000	1	400000	1	20
10000020	1	2	9	item103010111109	1	450000	1	450000	1	20
10000021	1	3	6	item100500000001	1	100000	1	80000	1	20
20000001	2	1	1	item107999900001	1	60000	1	60000	1	25
20000002	2	1	2	item107999900002	1	300000	1	300000	1	5
30000001	3	1	1	item101010211001	1	2000	1	2000	1	9999
30000002	3	1	2	item101010311001	1	5000	1	5000	1	9999
30000003	3	1	3	item101010411001	1	10000	1	10000	1	9999
30000004	3	1	4	item101010511001	1	20000	1	20000	1	9999
30000005	3	2	1	item102010111001	1	200	1	200	1	9999
30000006	3	2	2	item102010211001	1	500	1	500	1	9999
30000007	3	2	3	item102010311001	1	2000	1	2000	1	9999
30000008	3	2	4	item102010411001	1	4000	1	4000	1	9999
30000013	3	2	5	item102010411002	1	8000	1	6080	1	9999
30000009	3	2	6	item103010111000	1	200	1	200	1	9999
30000010	3	2	7	item103010211001	1	500	1	500	1	9999
30000011	3	2	8	item103010311001	1	2000	1	2000	1	9999
30000012	3	2	9	item103010411001	1	4000	1	4000	1	9999
30000014	3	2	10	item103010411002	1	8000	1	6080	1	9999
40000004	4	1	1	item101020504006	1	400000	1	400000	1	99
40000005	4	1	2	item101020504007	1	400000	1	400000	1	99
40000007	4	1	4	item101020504008	1	450000	1	450000	1	99
40000008	4	1	5	item101020504009	1	450000	1	450000	1	99
40000009	4	2	1	item101040101015	1	100000	1	100000	1	100
40000010	4	2	2	item101040101016	1	2000000	1	2000000	1	20
40000011	4	2	3	item101040101011	1	100000	1	100000	1	400
40000012	4	2	4	item101040101012	1	2000000	1	2000000	1	20
40000015	4	3	1	item101040101001	1	100000	1	100000	1	9999
40000016	4	3	2	item101040101002	1	300000	1	300000	1	9999
50000001	5	1	1	item8170000120010	1	50000	1	38000	1	100
60000001	6	1	1	item101200000003	1	50000	1	50000	1	9999
60000002	6	2	1	item127000063020	1	100000	1	10000	1	20
