流水	特拉然掉落库ID	随机目标ID	权重
int	int	string	int
Id	DropId	RandomId	Weight
1	10	1101	1000
2	10	1102	1000
3	10	1103	1000
4	10	2101	1000
5	10	2102	1000
6	10	2103	1000
7	20	1201	1000
8	20	1202	1000
9	20	1203	1000
10	20	2201	1000
11	20	2202	1000
12	20	2203	1000
13	30	1301	1000
14	30	1302	1000
15	30	1303	1000
16	30	2301	1000
17	30	2302	1000
18	30	2303	1000
19	102	612	7000
20	102	613	3000
21	102	712	0
22	102	713	0
23	102	110	0
24	102	210	0
25	102	310	0
26	102	410	0
27	102	510	0
28	103	612	1000
29	103	613	5000
30	103	712	0
31	103	713	0
32	103	110	0
33	103	210	0
34	103	310	0
35	103	410	4000
36	103	510	0
37	104	612	3000
38	104	613	3000
39	104	712	0
40	104	713	0
41	104	110	0
42	104	210	0
43	104	310	0
44	104	410	2000
45	104	510	2000
46	105	612	2000
47	105	613	2000
48	105	712	0
49	105	713	0
50	105	110	0
51	105	210	0
52	105	310	2000
53	105	410	2000
54	105	510	2000
55	106	612	1000
56	106	613	2000
57	106	712	0
58	106	713	0
59	106	110	0
60	106	210	0
61	106	310	3000
62	106	410	2000
63	106	510	2000
64	107	612	2000
65	107	613	1000
66	107	712	0
67	107	713	0
68	107	110	0
69	107	210	0
70	107	310	2000
71	107	410	2000
72	107	510	3000
73	108	612	600
74	108	613	600
75	108	712	0
76	108	713	0
77	108	110	7000
78	108	210	0
79	108	310	600
80	108	410	600
81	108	510	600
82	109	612	0
83	109	613	0
84	109	712	0
85	109	713	0
86	109	110	0
87	109	210	10000
88	109	310	0
89	109	410	0
90	109	510	0
91	202	614	7000
92	202	615	3000
93	202	714	0
94	202	715	0
95	202	120	0
96	202	210	0
97	202	310	0
98	202	420	0
99	202	520	0
100	203	614	3000
101	203	615	3500
102	203	714	2000
103	203	715	1500
104	203	120	0
105	203	210	0
106	203	310	0
107	203	420	0
108	203	520	0
109	204	614	1500
110	204	615	1500
111	204	714	0
112	204	715	0
113	204	120	4000
114	204	210	0
115	204	310	0
116	204	420	1500
117	204	520	1500
118	205	614	0
119	205	615	0
120	205	714	1500
121	205	715	1500
122	205	120	0
123	205	210	4000
124	205	310	3000
125	205	420	0
126	205	520	0
127	206	614	1500
128	206	615	2500
129	206	714	0
130	206	715	0
131	206	120	0
132	206	210	0
133	206	310	2000
134	206	420	2000
135	206	520	2000
136	207	614	2000
137	207	615	1000
138	207	714	2000
139	207	715	1000
140	207	120	0
141	207	210	0
142	207	310	2000
143	207	420	1000
144	207	520	1000
145	208	614	1250
146	208	615	1250
147	208	714	0
148	208	715	0
149	208	120	6500
150	208	210	0
151	208	310	1000
152	208	420	0
153	208	520	0
154	209	614	1500
155	209	615	1500
156	209	714	0
