道具ID	适用职业	效果ID	基础属性	效果简述
string	string	string	string	string
ItemId	SkillId	AffixId	BasicProp	AffixDesc
item21000000000001	-1	201	1,5000;3,500;4,300	AffixDesc_21000000000001
item21000000000002	-1	202	1,10000;3,1000;4,600	AffixDesc_21000000000002
item21000000000003	-1	203	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000003
item21000000000004	-1	204	1,5000;3,500;4,300	AffixDesc_21000000000004
item21000000000005	-1	205	1,10000;3,1000;4,600	AffixDesc_21000000000005
item21000000000006	-1	206	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000006
item21000000000007	-1	207	1,5000;3,500;4,300	AffixDesc_21000000000007
item21000000000008	-1	208	1,10000;3,1000;4,600	AffixDesc_21000000000008
item21000000000009	-1	209	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000009
item21000000000010	-1	210	1,10000;3,1000;4,600	AffixDesc_21000000000010
item21000000000011	-1	211	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000011
item21000000000012	-1	212	1,10000;3,1000;4,600	AffixDesc_21000000000012
item21000000000013	-1	213	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000013
item21000000000014	-1	214	1,5000;3,500;4,300	AffixDesc_21000000000014
item21000000000015	-1	215	1,10000;3,1000;4,600	AffixDesc_21000000000015
item21000000000016	-1	216	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000016
item21000000000017	-1	217	1,10000;3,1000;4,600	AffixDesc_21000000000017
item21000000000018	-1	218	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000018
item21000000000019	-1	219	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000019
item21000000000020	-1	220	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000020
item21000000000021	-1	221	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000021
item21000000000022	-1	222	1,5000;3,500;4,300	AffixDesc_21000000000022
item21000000000023	-1	223	1,5000;3,500;4,300	AffixDesc_21000000000023
item21000000000024	-1	224	1,5000;3,500;4,300	AffixDesc_21000000000024
item21000000000025	-1	225	1,5000;3,500;4,300	AffixDesc_21000000000025
item21000000000026	-1	226	1,5000;3,500;4,300	AffixDesc_21000000000026
item21000000000027	-1	227	1,5000;3,500;4,300	AffixDesc_21000000000027
item21000000000028	-1	228	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000028
item21000000000029	-1	229	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000029
item21000000000030	-1	230	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000030
item21000000000031	-1	231	1,5000;3,500;4,300	AffixDesc_21000000000031
item21000000000032	-1	232	1,10000;3,1000;4,600	AffixDesc_21000000000032
item21000000000033	-1	233	1,15000;3,1500;4,900;11,200;12,200;13,200	AffixDesc_21000000000033
item20000000000001	-1	101		
item20000000000002	-1	102		
item20000000000003	-1	103		
item20000000000004	-1	104		
item20000000000005	-1	105		
item20000000000006	-1	106		
item20000000000007	-1	107		
item20000000000008	-1	108		
