道具ID	技能ID	效果简述
string	string	string
ItemId	SkillId	AffixDesc
item2220000000001	skill10012_1	AffixDesc_2220000000001
item2230000000001	skill10012_2	AffixDesc_2230000000001
item2240000000001	skill10012_3	AffixDesc_2240000000001
item2220000000002	skill10011_1	AffixDesc_2220000000002
item2230000000002	skill10011_2	AffixDesc_2230000000002
item2240000000002	skill10011_3	AffixDesc_2240000000002
item2220000000003	skill1515_1	AffixDesc_2220000000003
item2230000000003	skill1515_2	AffixDesc_2230000000003
item2240000000003	skill1515_3	AffixDesc_2240000000003
item2220000000004	skill10009_1	AffixDesc_2220000000004
item2230000000004	skill10009_2	AffixDesc_2230000000004
item2240000000004	skill10009_3	AffixDesc_2240000000004
item2220000000005	skill10010_1	AffixDesc_2220000000005
item2230000000005	skill10010_2	AffixDesc_2230000000005
item2240000000005	skill10010_3	AffixDesc_2240000000005
