目标库	目标NPC
int	string
TargetBox	TargetNPC
1	trial_monster_1101
1	trial_monster_1102
1	trial_monster_1103
1	trial_monster_1104
1	trial_monster_1105
1	trial_monster_1106
1	trial_monster_1107
1	trial_monster_1108
1	trial_monster_1109
1	trial_monster_1110
1	trial_monster_1111
1	trial_monster_1112
2	trial_monster_1201
2	trial_monster_1202
2	trial_monster_1203
2	trial_monster_1204
2	trial_monster_1205
2	trial_monster_1206
2	trial_monster_1207
2	trial_monster_1208
2	trial_monster_1209
2	trial_monster_1210
2	trial_monster_1211
2	trial_monster_1212
3	trial_monster_1301
3	trial_monster_1302
3	trial_monster_1303
3	trial_monster_1304
3	trial_monster_1305
3	trial_monster_1306
3	trial_monster_1307
3	trial_monster_1308
3	trial_monster_1309
3	trial_monster_1310
3	trial_monster_1311
3	trial_monster_1312
4	trial_monster_1401
4	trial_monster_1402
4	trial_monster_1403
4	trial_monster_1404
4	trial_monster_1405
4	trial_monster_1406
4	trial_monster_1407
4	trial_monster_1408
4	trial_monster_1409
4	trial_monster_1410
4	trial_monster_1411
4	trial_monster_1412
5	trial_monster_1501
5	trial_monster_1502
5	trial_monster_1503
5	trial_monster_1504
5	trial_monster_1505
5	trial_monster_1506
5	trial_monster_1507
5	trial_monster_1508
5	trial_monster_1509
5	trial_monster_1510
5	trial_monster_1511
5	trial_monster_1512
6	trial_monster_1601
6	trial_monster_1602
6	trial_monster_1603
6	trial_monster_1604
6	trial_monster_1605
6	trial_monster_1606
6	trial_monster_1607
6	trial_monster_1608
6	trial_monster_1609
6	trial_monster_1610
6	trial_monster_1611
6	trial_monster_1612
7	trial_monster_1701
7	trial_monster_1702
7	trial_monster_1703
7	trial_monster_1704
7	trial_monster_1705
7	trial_monster_1706
7	trial_monster_1707
7	trial_monster_1708
7	trial_monster_1709
7	trial_monster_1710
7	trial_monster_1711
7	trial_monster_1712
8	trial_monster_1801
8	trial_monster_1802
8	trial_monster_1803
8	trial_monster_1804
8	trial_monster_1805
8	trial_monster_1806
8	trial_monster_1807
8	trial_monster_1808
8	trial_monster_1809
8	trial_monster_1810
8	trial_monster_1811
8	trial_monster_1812
9	trial_monster_1901
9	trial_monster_1902
9	trial_monster_1903
9	trial_monster_1904
9	trial_monster_1905
9	trial_monster_1906
9	trial_monster_1907
9	trial_monster_1908
9	trial_monster_1909
9	trial_monster_1910
9	trial_monster_1911
9	trial_monster_1912
10	trial_monster_2001
10	trial_monster_2002
10	trial_monster_2003
10	trial_monster_2004
10	trial_monster_2005
10	trial_monster_2006
10	trial_monster_2007
10	trial_monster_2008
10	trial_monster_2009
10	trial_monster_2010
10	trial_monster_2011
10	trial_monster_2012
11	trial_monster_2101
11	trial_monster_2102
11	trial_monster_2103
11	trial_monster_2104
11	trial_monster_2105
11	trial_monster_2106
11	trial_monster_2107
11	trial_monster_2108
11	trial_monster_2109
11	trial_monster_2110
11	trial_monster_2111
11	trial_monster_2112
12	trial_monster_2201
12	trial_monster_2202
12	trial_monster_2203
12	trial_monster_2204
12	trial_monster_2205
12	trial_monster_2206
12	trial_monster_2207
12	trial_monster_2208
12	trial_monster_2209
12	trial_monster_2210
12	trial_monster_2211
12	trial_monster_2212
201	trial_monster_1401
201	trial_monster_1402
201	trial_monster_1403
201	trial_monster_1404
201	trial_monster_1405
201	trial_monster_1406
201	trial_monster_1407
201	trial_monster_1408
201	trial_monster_1409
201	trial_monster_1410
201	trial_monster_1411
201	trial_monster_1412
202	trial_monster_1501
202	trial_monster_1502
202	trial_monster_1503
202	trial_monster_1504
202	trial_monster_1505
202	trial_monster_1506
202	trial_monster_1507
202	trial_monster_1508
202	trial_monster_1509
202	trial_monster_1510
202	trial_monster_1511
202	trial_monster_1512
203	trial_monster_1601
203	trial_monster_1602
203	trial_monster_1603
203	trial_monster_1604
203	trial_monster_1605
203	trial_monster_1606
203	trial_monster_1607
203	trial_monster_1608
203	trial_monster_1609
203	trial_monster_1610
203	trial_monster_1611
203	trial_monster_1612
204	trial_monster_1701
204	trial_monster_1702
204	trial_monster_1703
204	trial_monster_1704
204	trial_monster_1705
204	trial_monster_1706
204	trial_monster_1707
204	trial_monster_1708
204	trial_monster_1709
204	trial_monster_1710
204	trial_monster_1711
204	trial_monster_1712
205	trial_monster_1801
205	trial_monster_1802
205	trial_monster_1803
205	trial_monster_1804
205	trial_monster_1805
205	trial_monster_1806
205	trial_monster_1807
205	trial_monster_1808
205	trial_monster_1809
205	trial_monster_1810
205	trial_monster_1811
205	trial_monster_1812
206	trial_monster_1901
206	trial_monster_1902
206	trial_monster_1903
206	trial_monster_1904
206	trial_monster_1905
206	trial_monster_1906
206	trial_monster_1907
206	trial_monster_1908
206	trial_monster_1909
206	trial_monster_1910
206	trial_monster_1911
206	trial_monster_1912
