关数	关卡数显示	副本类型	奖励展示	每次活动领奖次数	助战次数
int	int	int	string	int	int
Id	PointId	DoungeonType	ItemDisplay	RewardTime	AssistFightTime
1	1	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
2	2	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
3	3	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
4	4	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
5	5	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
6	6	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
7	7	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
8	8	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
9	9	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
10	10	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
11	11	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
12	12	0	item2001,1;item107210052001,1;item107210051001,1;item107200053001,1;item107200052001,1;item107200051001,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107400000002,1	1	3
201	1	1	item1038,1;item107999900011,1;item2001,1;item107200053001,1	1	3
202	2	1	item1038,1;item107999900011,1;item2001,1;item107200053001,1	1	3
203	3	1	item1038,1;item107999900011,1;item2001,1;item107200053001,1	1	3
204	4	1	item1038,1;item107999900011,1;item2001,1;item107200053001,1	1	3
205	5	1	item1038,1;item107999900011,1;item2001,1;item107200053001,1	1	3
206	6	1	item1038,1;item107999900011,1;item2001,1;item107200053001,1	1	3
