NPC编号	对象类型	头像	名称	描边参数	模型编号	特效资源	特效出现方式	特效消失方式	触发半径	触发系列号	脚本编号	阻挡信息	发射点高度	最小物理攻击	最大物理攻击	最小魔法攻击	最大魔法攻击	命中	物理暴击	魔法暴击	等级	对话显示修正	对话显示缩放	出生程序特效	死亡程序特效
string	string	string	string	int	string	int	string	string	float	int	string	string	float	int	int	int	int	int	int	int	int	vector3	float	int	int
Id	script	Icon	Name	OutlinePara	Avatar	Effect	StartStyle	EndStyle	SpringRange	TriggerSerial	LuaScript	CollideInfo	Stature	MinAtk	MaxAtk	MinMagicAtk	MaxMagicAtk	Hit	Cri	MagicCri	Level	TalkShowOffset	TalkShowScale	BornProgramEffect	DeadProgramEffect
trigger_1001_001	TriggerNpc			0		2000001			6.000000	2		2,13,2	0.000000	0	0	0	0	0	0	0	0		1.000000	0	0
trigger_1001_002	TriggerNpc			0		2000001			6.000000	3		2,13,2	0.000000	0	0	0	0	0	0	0	0	0,0.3,0.65	1.000000	0	0
trigger_300012_001	TriggerNpc			0		2000001			6.000000	3		2,10,1.5	0.000000	0	0	0	0	0	0	0	0	0,0.3,0.65	1.000000	0	0
trigger_300011_001	TriggerNpc			0		2000001			6.000000	4		2,5.11,2	0.000000	0	0	0	0	0	0	0	0	0,0.3,0.65	1.000000	0	0
trigger_300011_002	TriggerNpc			1	g500|body|g500_body_t1	0		2,die01	6.000000	5		2,8,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300011_003	TriggerNpc			1	g500|body|g500_body_t1	0		2,die01	6.000000	6		2,8.68,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_001	TriggerNpc			0		110008	1	1	6.000000	1		2,9.12,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_002	TriggerNpc			0		110008	1	1	6.000000	2		2,6.12,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_003	TriggerNpc			0		110008	1	1	6.000000	3		2,6.15,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_004	TriggerNpc			0		110008	1	1	6.000000	4		2,7.8,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_005	TriggerNpc			0		110008	1	1	6.000000	5		2,8.19,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_006	TriggerNpc			0		110008	1	1	6.000000	6		2,8.6,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_007	TriggerNpc			0		110008	1	1	6.000000	7		2,5.43,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_008	TriggerNpc			0		110008	1	1	6.000000	8		2,14.26,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_009	TriggerNpc			0		110008	1	1	6.000000	9		2,13.52,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300021_010	TriggerNpc			0		110008	1	1	6.000000	10		2,9.9,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_20000_001	TriggerNpc			0		2100202			6.000000	23		2,12,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_20000_002	TriggerNpc			0		2100202			6.000000	23		2,12,2	0.000000	0	0	0	0	0	0	0	0		0.000000	0	0
trigger_300031_001	TriggerNpc			1	g514|body|g514_body_t1	0			6.000000	2		2,10,4	0.000000	0	0	0	0	0	0	0	0		1.000000	0	0
trigger_300031_002	TriggerNpc			1	g514|body|g514_body_t1	0			6.000000	2		2,10,4	0.000000	0	0	0	0	0	0	0	0		1.000000	0	0
trigger_300031_003	TriggerNpc			1	g514|body|g514_body_t1	0			6.000000	2		2,10,4	0.000000	0	0	0	0	0	0	0	0		1.000000	0	0
trigger_300031_004	TriggerNpc			1	g514|body|g514_body_t1	0			6.000000	2		2,10,4	0.000000	0	0	0	0	0	0	0	0		1.000000	0	0
