层数	十二宫怪物ID	怪物描述	阶段奖励预览
int	string	string	string
StageId	BossId	BossStr	StageRewardShow
1	monster19120501	UI_TwelveStarsBossStr01	item10000000001,20000;item8230000000007,1;item8230000000008,1
2	monster19120505	UI_TwelveStarsBossStr02	item10000000001,20000;item8230000000007,1;item8230000000008,1
3	monster19120506	UI_TwelveStarsBossStr03	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,1
4	monster19120502	UI_TwelveStarsBossStr04	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,1;item8230000000010,1
5	monster19120507	UI_TwelveStarsBossStr05	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,1;item8230000000010,1
6	monster19120508	UI_TwelveStarsBossStr06	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,2;item8230000000010,1
7	monster19120509	UI_TwelveStarsBossStr07	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,2;item8230000000010,1;item230000000013,1
8	monster19120503	UI_TwelveStarsBossStr08	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,2;item8230000000010,2;item230000000013,1
9	monster19120510	UI_TwelveStarsBossStr09	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,2;item8230000000010,2;item230000000013,1
10	monster19120511	UI_TwelveStarsBossStr10	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,2;item8230000000010,2;item230000000013,1
11	monster19120512	UI_TwelveStarsBossStr11	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,2;item8230000000010,3;item230000000013,1
12	monster19120504	UI_TwelveStarsBossStr12	item10000000001,20000;item8230000000007,1;item8230000000008,1;item8230000000009,2;item8230000000010,3;item230000000013,1
