道具ID	部位	最小装等	最大装等	蓝色魔法属性等级掉落库	紫色魔法属性等级掉落库	金色魔法属性等级掉落库
string	int	int	int	int	int	int
Id	Parts	MinItemLv	MaxItemLv	MagicLvDropBox2	MagicLvDropBox3	MagicLvDropBox4
unidfequip301010110001	1	27	27	202001	203001	204001
unidfequip302010110001	2	27	27	202001	203001	204001
unidfequip303010110001	3	27	27	202001	203001	204001
unidfequip304010110001	4	27	27	202001	203001	204001
unidfequip305010110001	5	27	27	202001	203001	204001
unidfequip306010110001	6	27	27	202001	203001	204001
unidfequip301010110002	1	27	27	202001	203001	204001
unidfequip302010110002	2	27	27	202001	203001	204001
unidfequip303010110002	3	27	27	202001	203001	204001
unidfequip304010110002	4	27	27	202001	203001	204001
unidfequip305010110002	5	27	27	202001	203001	204001
unidfequip306010110002	6	27	27	202001	203001	204001
unidfequip301010110003	1	27	27	202001	203001	204001
unidfequip302010110003	2	27	27	202001	203001	204001
unidfequip303010110003	3	27	27	202001	203001	204001
unidfequip304010110003	4	27	27	202001	203001	204001
unidfequip305010110003	5	27	27	202001	203001	204001
unidfequip306010110003	6	27	27	202001	203001	204001
unidfequip301010110004	1	27	27	202001	203001	204001
unidfequip302010110004	2	27	27	202001	203001	204001
unidfequip303010110004	3	27	27	202001	203001	204001
unidfequip304010110004	4	27	27	202001	203001	204001
unidfequip305010110004	5	27	27	202001	203001	204001
unidfequip306010110004	6	27	27	202001	203001	204001
unidfequip301010110005	1	27	27	202001	203001	204001
unidfequip302010110005	2	27	27	202001	203001	204001
unidfequip303010110005	3	27	27	202001	203001	204001
unidfequip304010110005	4	27	27	202001	203001	204001
unidfequip305010110005	5	27	27	202001	203001	204001
unidfequip306010110005	6	27	27	202001	203001	204001
unidfequip301010110006	1	27	27	202001	203001	204001
unidfequip302010110006	2	27	27	202001	203001	204001
unidfequip303010110006	3	27	27	202001	203001	204001
unidfequip304010110006	4	27	27	202001	203001	204001
unidfequip305010110006	5	27	27	202001	203001	204001
unidfequip306010110006	6	27	27	202001	203001	204001
unidfequip301030210001	1	79	79	302001	303001	304001
unidfequip302030210001	2	79	79	302001	303001	304001
unidfequip303030210001	3	79	79	302001	303001	304001
unidfequip304030210001	4	79	79	302001	303001	304001
unidfequip305030210001	5	79	79	302001	303001	304001
unidfequip306030210001	6	79	79	302001	303001	304001
unidfequip301030210002	1	79	79	302001	303001	304001
unidfequip302030210002	2	79	79	302001	303001	304001
unidfequip303030210002	3	79	79	302001	303001	304001
unidfequip304030210002	4	79	79	302001	303001	304001
unidfequip305030210002	5	79	79	302001	303001	304001
unidfequip306030210002	6	79	79	302001	303001	304001
unidfequip301030210003	1	79	79	302001	303001	304001
unidfequip302030210003	2	79	79	302001	303001	304001
unidfequip303030210003	3	79	79	302001	303001	304001
unidfequip304030210003	4	79	79	302001	303001	304001
unidfequip305030210003	5	79	79	302001	303001	304001
unidfequip306030210003	6	79	79	302001	303001	304001
unidfequip301030210004	1	79	79	302001	303001	304001
unidfequip302030210004	2	79	79	302001	303001	304001
unidfequip303030210004	3	79	79	302001	303001	304001
unidfequip304030210004	4	79	79	302001	303001	304001
unidfequip305030210004	5	79	79	302001	303001	304001
unidfequip306030210004	6	79	79	302001	303001	304001
unidfequip301030210005	1	79	79	302001	303001	304001
unidfequip302030210005	2	79	79	302001	303001	304001
unidfequip303030210005	3	79	79	302001	303001	304001
unidfequip304030210005	4	79	79	302001	303001	304001
unidfequip305030210005	5	79	79	302001	303001	304001
unidfequip306030210005	6	79	79	302001	303001	304001
unidfequip301030210006	1	79	79	302001	303001	304001
unidfequip302030210006	2	79	79	302001	303001	304001
unidfequip303030210006	3	79	79	302001	303001	304001
unidfequip304030210006	4	79	79	302001	303001	304001
unidfequip305030210006	5	79	79	302001	303001	304001
unidfequip306030210006	6	79	79	302001	303001	304001
unidfequip301030220001	1	158	158	302001	303001	304001
unidfequip302030220001	2	158	158	302001	303001	304001
unidfequip303030220001	3	158	158	302001	303001	304001
unidfequip304030220001	4	158	158	302001	303001	304001
unidfequip305030220001	5	158	158	302001	303001	304001
unidfequip306030220001	6	158	158	302001	303001	304001
unidfequip301030220002	1	158	158	302001	303001	304001
unidfequip302030220002	2	158	158	302001	303001	304001
unidfequip303030220002	3	158	158	302001	303001	304001
unidfequip304030220002	4	158	158	302001	303001	304001
unidfequip305030220002	5	158	158	302001	303001	304001
unidfequip306030220002	6	158	158	302001	303001	304001
unidfequip301030220003	1	158	158	302001	303001	304001
unidfequip302030220003	2	158	158	302001	303001	304001
