区段（重树）ID	米数区间起点	区段名	区段节点	节点icon显示	区段奖励（赛季初发放）	区段限时（单位：S）
int	int	string	string	string	string	int
Id	BeginHeight	SectionName	SectionMilestone	MilestoneIcon	SeasonRewards	MaxSectionTime
1	0	UnlimitTowerSectionName1	0,1000,2000,3000,4000,5000	monster32200500,monster32200400,monster32200401,monster32200402,monster32200403,monster32200404	item1006,200;item101100112006,1	480
2	5001	UnlimitTowerSectionName2	5001,6000,7000,8000,9000,10000	monster32200500,monster32200405,monster32200406,monster32200407,monster32200408,monster32200409	item1006,250;item101100112006,2	480
3	10001	UnlimitTowerSectionName3	10001,11000,12000,13000,14000,15000	monster32200500,monster32200410,monster32200411,monster32200412,monster32200413,monster32200414	item1006,300;item101100112006,3	480
4	15001	UnlimitTowerSectionName4	15001,16000,17000,18000,19000,20000	monster32200500,monster32200415,monster32200416,monster32200417,monster32200418,monster32200404	item1006,350;item101100112006,4	480
5	20001	UnlimitTowerSectionName5	20001,21000,22000,23000,24000,25000	monster32200500,monster32200406,monster32200408,monster32200410,monster32200412,monster32200414	item1006,400;item101100112006,5	480
6	25001	UnlimitTowerSectionName6	25001,26000,27000,28000,29000,30000	monster32200500,monster32200400,monster32200401,monster32200412,monster32200415,monster32200414	item1006,450;item101100112006,6	480
7	30001	UnlimitTowerSectionName7	30001,31000,32000,33000,34000,35000	monster32200500,monster32200402,monster32200411,monster32200405,monster32200417,monster32200410	item1006,500;item101100112006,7	480
8	35001	UnlimitTowerSectionName8	35001,36000,37000,38000,39000,40000	monster32200500,monster32200407,monster32200422,monster32200423,monster32200425,monster32200424	item1006,550;item101100112006,8	480
9	40001	UnlimitTowerSectionName9	40001,41000,42000,43000,44000,45000	monster32200500,monster32200402,monster32200411,monster32200405,monster32200417,monster32200410	item1006,600;item101100112006,9	480
10	45001	UnlimitTowerSectionName10	45001,46000,47000,48000,49000,50000	monster32200500,monster32200407,monster32200422,monster32200423,monster32200425,monster32200424	item1006,650;item101100112006,10	480
