流水	奖励类型	类型值	奖励
int	int	int	string
Id	Type	TypeValue	Reward
1	1	500	item1006,25
2	1	1000	item1006,25;item8103015110409,5
3	1	1500	item1006,25
4	1	2000	item1006,25
5	1	2500	item1006,30
6	1	3000	item1006,30
7	1	3500	item1006,30
8	1	4000	item1006,30
9	1	4500	item1006,30
10	1	5000	item1006,35;item161000000001,2
11	1	6000	item1006,60
12	1	7000	item1006,65
13	1	8000	item1006,70
14	1	9000	item1006,75
15	1	10000	item1006,80;item8103015110305,2
16	1	11000	item1006,85
17	1	12000	item1006,90
18	1	13000	item1006,95
19	1	14000	item1006,100
20	1	15000	item1006,105;item8103015110409,5
21	1	16000	item1006,110
22	1	17000	item1006,115
23	1	18000	item1006,120
24	1	19000	item1006,125
25	1	20000	item1006,130;item161000000001,4
26	1	21000	item1006,135
27	1	22000	item1006,140
28	1	23000	item1006,145
29	1	24000	item1006,150
30	1	25000	item1006,155;item8103015110305,2
31	1	26000	item1006,160
32	1	27000	item1006,165
33	1	28000	item1006,170
34	1	29000	item1006,175
35	1	30000	item1006,180;item161000000002,1
36	1	31000	item1006,185
37	1	32000	item1006,190
38	1	33000	item1006,195
39	1	34000	item1006,200
40	1	35000	item1006,205;item8103015110408,1
41	1	36000	item1006,210
42	1	37000	item1006,215
43	1	38000	item1006,220
44	1	39000	item1006,225
45	1	40000	item1006,230;item8103015110409,2
46	1	41000	item1006,235
47	1	42000	item1006,240
48	1	43000	item1006,245
49	1	44000	item1006,250
50	1	45000	item1006,255;item8103015110408,2
51	1	46000	item1006,260
52	1	47000	item1006,265
53	1	48000	item1006,270
54	1	49000	item1006,275
55	1	50000	item1006,280;item8103015110409,5
