流水ID	武器技能石ID	对应的职业	可转换的技能石ID
int	string	int	string
Id	ItemId	JobLimit	ChangeItemId
1	item103010132001	0	item103010132001
2	item103010132002	0	item103010132002
3	item103010132003	0	item103010132003
4	item103010132004	0	item103010132004
5	item103010132011	0	item103010132011
6	item103010132012	0	item103010132012
7	item103010132013	0	item103010132013
8	item103010132014	0	item103010132014
9	item103010132021	0	item103010132021
10	item103010132022	0	item103010132022
11	item103010132023	0	item103010132023
12	item103010132024	0	item103010132024
13	item103010132031	0	item103010132031
14	item103010132032	0	item103010132032
15	item103010132033	0	item103010132033
16	item103010132034	0	item103010132034
17	item103010132101	0	item103010132101
18	item103010132102	0	item103010132102
19	item103010132103	0	item103010132103
20	item103010132104	0	item103010132104
21	item103010132111	0	item103010132111
22	item103010132112	0	item103010132112
23	item103010132113	0	item103010132113
24	item103010132114	0	item103010132114
25	item103010132121	0	item103010132121
26	item103010132122	0	item103010132122
27	item103010132123	0	item103010132123
28	item103010132124	0	item103010132124
29	item103010132201	0	item103010132201
30	item103010132202	0	item103010132202
31	item103010132203	0	item103010132203
32	item103010132204	0	item103010132204
33	item103010132211	0	item103010132211
34	item103010132212	0	item103010132212
35	item103010132213	0	item103010132213
36	item103010132214	0	item103010132214
37	item103010132221	0	item103010132221
38	item103010132222	0	item103010132222
39	item103010132223	0	item103010132223
40	item103010132224	0	item103010132224
41	item103010132231	0	item103010132231
42	item103010132232	0	item103010132232
43	item103010132233	0	item103010132233
44	item103010132234	0	item103010132234
45	item103010132241	0	item103010132241
46	item103010132242	0	item103010132242
47	item103010132243	0	item103010132243
48	item103010132244	0	item103010132244
49	item103010132251	0	item103010132251
50	item103010132252	0	item103010132252
51	item103010132253	0	item103010132253
52	item103010132254	0	item103010132254
53	item103010132301	0	item103010132301
54	item103010132302	0	item103010132302
55	item103010132303	0	item103010132303
56	item103010132304	0	item103010132304
57	item103010132305	0	item103010132305
58	item103010132306	0	item103010132306
59	item103010132307	0	item103010132307
60	item103010132308	0	item103010132308
61	item103010132311	0	item103010132311
62	item103010132312	0	item103010132312
63	item103010132313	0	item103010132313
64	item103010132314	0	item103010132314
65	item103010132315	0	item103010132315
66	item103010132316	0	item103010132316
67	item103010132317	0	item103010132317
68	item103010132318	0	item103010132318
69	item103010132321	0	item103010132321
70	item103010132322	0	item103010132322
71	item103010132323	0	item103010132323
72	item103010132324	0	item103010132324
73	item103010132325	0	item103010132325
74	item103010132326	0	item103010132326
75	item103010132327	0	item103010132327
76	item103010132328	0	item103010132328
77	item103010132331	0	item103010132331
78	item103010132332	0	item103010132332
79	item103010132333	0	item103010132333
80	item103010132334	0	item103010132334
81	item103010132335	0	item103010132335
82	item103010132336	0	item103010132336
83	item103010132337	0	item103010132337
84	item103010132338	0	item103010132338
85	item103010132341	0	item103010132341
86	item103010132342	0	item103010132342
87	item103010132343	0	item103010132343
88	item103010132344	0	item103010132344
89	item103010132345	0	item103010132345
90	item103010132346	0	item103010132346
91	item103010132347	0	item103010132347
92	item103010132348	0	item103010132348
93	item103010132351	0	item103010132351
94	item103010132352	0	item103010132352
95	item103010132353	0	item103010132353
96	item103010132354	0	item103010132354
97	item103010132355	0	item103010132355
98	item103010132356	0	item103010132356
99	item103010132357	0	item103010132357
100	item103010132358	0	item103010132358
101	item103010132361	0	item103010132361
