流水	场景ID	星期几	难度	常规任务掉落	常规任务刷新
int	int	int	int	int	string
Id	Scene	Week	Difficulty	DropId	RefreshTime
1	1	1	0	1000001	6;9;12;15;18;21;0;3
2	1	1	3	1000002	
3	1	1	1	1000011	6;10;14;18;22;2
4	1	1	2	1000021	6;12;18;0
5	1	2	0	1000001	6;9;12;15;18;21;0;3
6	1	2	3	1000002	
7	1	2	1	1000011	6;10;14;18;22;2
8	1	2	2	1000021	6;12;18;0
9	1	3	0	1000001	6;9;12;15;18;21;0;3
10	1	3	3	1000002	
11	1	3	1	1000011	6;10;14;18;22;2
12	1	3	2	1000021	6;12;18;0
13	1	4	0	1000001	6;9;12;15;18;21;0;3
14	1	4	3	1000002	
15	1	4	1	1000011	6;10;14;18;22;2
16	1	4	2	1000021	6;12;18;0
17	1	5	0	1000001	6;9;12;15;18;21;0;3
18	1	5	3	1000002	
19	1	5	1	1000011	6;10;14;18;22;2
20	1	5	2	1000021	6;12;18;0
21	1	6	0	1000001	6;9;12;15;18;21;0;3
22	1	6	3	1000002	
23	1	6	1	1000011	6;10;14;18;22;2
24	1	6	2	1000021	6;12;18;0
25	1	0	0	1000001	6;9;12;15;18;21;0;3
26	1	0	3	1000002	
27	1	0	1	1000011	6;10;14;18;22;2
28	1	0	2	1000021	6;12;18;0
29	3	1	0	2000001	6;9;12;15;18;21;0;3
30	3	1	1	2000011	6;10;14;18;22;2
31	3	1	2	2000021	6;12;18;0
32	3	2	0	2000001	6;9;12;15;18;21;0;3
33	3	2	1	2000011	6;10;14;18;22;2
34	3	2	2	2000021	6;12;18;0
35	3	3	0	2000001	6;9;12;15;18;21;0;3
36	3	3	1	2000011	6;10;14;18;22;2
37	3	3	2	2000021	6;12;18;0
38	3	4	0	2000001	6;9;12;15;18;21;0;3
39	3	4	1	2000011	6;10;14;18;22;2
40	3	4	2	2000021	6;12;18;0
41	3	5	0	2000001	6;9;12;15;18;21;0;3
42	3	5	1	2000011	6;10;14;18;22;2
43	3	5	2	2000021	6;12;18;0
44	3	6	0	2000001	6;9;12;15;18;21;0;3
45	3	6	1	2000011	6;10;14;18;22;2
46	3	6	2	2000021	6;12;18;0
47	3	0	0	2000001	6;9;12;15;18;21;0;3
48	3	0	1	2000011	6;10;14;18;22;2
49	3	0	2	2000021	6;12;18;0
50	4	1	0	3000001	6;9;12;15;18;21;0;3
51	4	1	1	3000011	6;10;14;18;22;2
52	4	1	2	3000021	6;12;18;0
53	4	2	0	3000001	6;9;12;15;18;21;0;3
54	4	2	1	3000011	6;10;14;18;22;2
55	4	2	2	3000021	6;12;18;0
56	4	3	0	3000001	6;9;12;15;18;21;0;3
57	4	3	1	3000011	6;10;14;18;22;2
58	4	3	2	3000021	6;12;18;0
59	4	4	0	3000001	6;9;12;15;18;21;0;3
60	4	4	1	3000011	6;10;14;18;22;2
61	4	4	2	3000021	6;12;18;0
62	4	5	0	3000001	6;9;12;15;18;21;0;3
63	4	5	1	3000011	6;10;14;18;22;2
64	4	5	2	3000021	6;12;18;0
65	4	6	0	3000001	6;9;12;15;18;21;0;3
66	4	6	1	3000011	6;10;14;18;22;2
67	4	6	2	3000021	6;12;18;0
