流水ID	选择时显示的省份Key	主界面显示的省份key	省份	市	选择时显示的市	主界面显示的市key	默认项
int	string	string	int	int	string	string	int
Id	ProvinceKey	ProvinceShowKey	Province	City	CityKey	CityShowKey	DefaultCity
1	ZoneProvince_01	ZoneProvince_001	1	1	ZoneCity_01	ZoneCity_001	1
2	ZoneProvince_02	ZoneProvince_002	2	1	ZoneCity_02	ZoneCity_002	0
3	ZoneProvince_03	ZoneProvince_003	3	1	ZoneCity_03	ZoneCity_003	0
4	ZoneProvince_04	ZoneProvince_004	4	1	ZoneCity_04	ZoneCity_004	0
5	ZoneProvince_04	ZoneProvince_004	4	2	ZoneCity_05	ZoneCity_005	0
6	ZoneProvince_04	ZoneProvince_004	4	3	ZoneCity_06	ZoneCity_006	0
7	ZoneProvince_04	ZoneProvince_004	4	4	ZoneCity_07	ZoneCity_007	0
8	ZoneProvince_04	ZoneProvince_004	4	5	ZoneCity_08	ZoneCity_008	0
9	ZoneProvince_04	ZoneProvince_004	4	6	ZoneCity_09	ZoneCity_009	0
10	ZoneProvince_04	ZoneProvince_004	4	7	ZoneCity_10	ZoneCity_010	0
11	ZoneProvince_04	ZoneProvince_004	4	8	ZoneCity_11	ZoneCity_011	0
12	ZoneProvince_04	ZoneProvince_004	4	9	ZoneCity_12	ZoneCity_012	0
13	ZoneProvince_04	ZoneProvince_004	4	10	ZoneCity_13	ZoneCity_013	0
14	ZoneProvince_04	ZoneProvince_004	4	11	ZoneCity_14	ZoneCity_014	0
15	ZoneProvince_04	ZoneProvince_004	4	12	ZoneCity_15	ZoneCity_015	0
16	ZoneProvince_04	ZoneProvince_004	4	13	ZoneCity_16	ZoneCity_016	0
17	ZoneProvince_04	ZoneProvince_004	4	14	ZoneCity_17	ZoneCity_017	0
18	ZoneProvince_04	ZoneProvince_004	4	15	ZoneCity_18	ZoneCity_018	0
19	ZoneProvince_04	ZoneProvince_004	4	16	ZoneCity_19	ZoneCity_019	0
20	ZoneProvince_04	ZoneProvince_004	4	17	ZoneCity_20	ZoneCity_020	0
21	ZoneProvince_04	ZoneProvince_004	4	18	ZoneCity_21	ZoneCity_021	0
22	ZoneProvince_05	ZoneProvince_005	5	1	ZoneCity_22	ZoneCity_022	0
23	ZoneProvince_05	ZoneProvince_005	5	2	ZoneCity_23	ZoneCity_023	0
24	ZoneProvince_05	ZoneProvince_005	5	3	ZoneCity_24	ZoneCity_024	0
25	ZoneProvince_05	ZoneProvince_005	5	4	ZoneCity_25	ZoneCity_025	0
26	ZoneProvince_05	ZoneProvince_005	5	5	ZoneCity_26	ZoneCity_026	0
27	ZoneProvince_05	ZoneProvince_005	5	6	ZoneCity_27	ZoneCity_027	0
28	ZoneProvince_05	ZoneProvince_005	5	7	ZoneCity_28	ZoneCity_028	0
29	ZoneProvince_05	ZoneProvince_005	5	8	ZoneCity_29	ZoneCity_029	0
30	ZoneProvince_05	ZoneProvince_005	5	9	ZoneCity_30	ZoneCity_030	0
31	ZoneProvince_05	ZoneProvince_005	5	10	ZoneCity_31	ZoneCity_031	0
32	ZoneProvince_06	ZoneProvince_006	6	1	ZoneCity_32	ZoneCity_032	0
33	ZoneProvince_06	ZoneProvince_006	6	2	ZoneCity_33	ZoneCity_033	0
34	ZoneProvince_06	ZoneProvince_006	6	3	ZoneCity_34	ZoneCity_034	0
35	ZoneProvince_06	ZoneProvince_006	6	4	ZoneCity_35	ZoneCity_035	0
36	ZoneProvince_06	ZoneProvince_006	6	5	ZoneCity_36	ZoneCity_036	0
37	ZoneProvince_06	ZoneProvince_006	6	6	ZoneCity_37	ZoneCity_037	0
38	ZoneProvince_06	ZoneProvince_006	6	7	ZoneCity_38	ZoneCity_038	0
39	ZoneProvince_06	ZoneProvince_006	6	8	ZoneCity_39	ZoneCity_039	0
40	ZoneProvince_06	ZoneProvince_006	6	9	ZoneCity_40	ZoneCity_040	0
41	ZoneProvince_06	ZoneProvince_006	6	10	ZoneCity_41	ZoneCity_041	0
42	ZoneProvince_06	ZoneProvince_006	6	11	ZoneCity_42	ZoneCity_042	0
43	ZoneProvince_06	ZoneProvince_006	6	12	ZoneCity_43	ZoneCity_043	0
44	ZoneProvince_06	ZoneProvince_006	6	13	ZoneCity_44	ZoneCity_044	0
45	ZoneProvince_06	ZoneProvince_006	6	14	ZoneCity_45	ZoneCity_045	0
46	ZoneProvince_06	ZoneProvince_006	6	15	ZoneCity_46	ZoneCity_046	0
47	ZoneProvince_07	ZoneProvince_007	7	1	ZoneCity_47	ZoneCity_047	0
48	ZoneProvince_07	ZoneProvince_007	7	2	ZoneCity_48	ZoneCity_048	0
49	ZoneProvince_07	ZoneProvince_007	7	3	ZoneCity_49	ZoneCity_049	0
50	ZoneProvince_07	ZoneProvince_007	7	4	ZoneCity_50	ZoneCity_050	0
51	ZoneProvince_07	ZoneProvince_007	7	5	ZoneCity_51	ZoneCity_051	0
52	ZoneProvince_07	ZoneProvince_007	7	6	ZoneCity_52	ZoneCity_052	0
53	ZoneProvince_07	ZoneProvince_007	7	7	ZoneCity_53	ZoneCity_053	0
54	ZoneProvince_07	ZoneProvince_007	7	8	ZoneCity_54	ZoneCity_054	0
55	ZoneProvince_07	ZoneProvince_007	7	9	ZoneCity_55	ZoneCity_055	0
56	ZoneProvince_07	ZoneProvince_007	7	10	ZoneCity_56	ZoneCity_056	0
57	ZoneProvince_07	ZoneProvince_007	7	11	ZoneCity_57	ZoneCity_057	0
58	ZoneProvince_07	ZoneProvince_007	7	12	ZoneCity_58	ZoneCity_058	0
59	ZoneProvince_07	ZoneProvince_007	7	13	ZoneCity_59	ZoneCity_059	0
60	ZoneProvince_07	ZoneProvince_007	7	14	ZoneCity_60	ZoneCity_060	0
61	ZoneProvince_07	ZoneProvince_007	7	15	ZoneCity_61	ZoneCity_061	0
62	ZoneProvince_07	ZoneProvince_007	7	16	ZoneCity_62	ZoneCity_062	0
63	ZoneProvince_07	ZoneProvince_007	7	17	ZoneCity_63	ZoneCity_063	0
64	ZoneProvince_07	ZoneProvince_007	7	18	ZoneCity_64	ZoneCity_064	0
65	ZoneProvince_07	ZoneProvince_007	7	19	ZoneCity_65	ZoneCity_065	0
66	ZoneProvince_07	ZoneProvince_007	7	20	ZoneCity_66	ZoneCity_066	0
67	ZoneProvince_07	ZoneProvince_007	7	21	ZoneCity_67	ZoneCity_067	0
